,ra,dec,parallax,pmra,pmdec,radial_velocity,parallax_error,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
9,62.98807668403643,-27.057161154046305,-0.7661073202906735,-0.6589904069385447,-1.1454734050209818,,0.5479404807809842,0.5269898153393583,0.6817024216775185,19.478246776025767,19.70478179554184,19.121451828013026
17,73.96599044611034,-31.45430297498396,0.5751130317298805,-2.181978435811547,1.0590713175209086,,0.4977519888867447,0.6741057102381457,0.7284175447123092,19.470742978240363,19.693950167354192,19.070098573223085
18,55.38515924559773,-33.96927588292355,0.3003662769035316,-4.453309383309821,-1.8533980279489328,,0.731968641055396,0.8741952210624468,1.0032862252089738,19.888162996177254,20.12931009175173,19.3716608573008
20,26.132202782924942,-24.07833316321489,0.5762711146487909,-3.868501909887975,-2.2885451638039416,,0.18509717591424726,0.24312860115294224,0.2187270079715337,17.689648658606405,17.887105054504474,17.326250989315138
24,60.51536441579661,-22.599341889739872,-0.15094857015001778,-0.11507604407387124,-0.8367772093722491,,0.16028908662670355,0.16559149133615514,0.1899303981992121,17.648409830003907,18.00099543759482,17.10843898701757
30,26.132202782924942,-24.07833316321489,0.07756614695826466,-4.011566649027807,-2.6943704502454406,,0.22280272853150468,0.29265554946132444,0.263283185920498,17.978084333886407,18.17936395854702,17.60458531645159
34,34.722708965738576,-30.131143727208954,0.310477854417672,-4.28409079199183,-0.8296486710651725,,0.6611891539472413,0.6830614632697908,0.7834589486847732,19.609167239286364,19.90528960698182,19.135190874014786
41,25.033948714024447,-26.988778232134642,-0.4656255836624443,-3.5907612501086423,-0.7239422972529245,,0.2931197913150244,0.3631315551474533,0.3464275036106705,18.431076192438788,18.623038699232346,18.06069372842585
48,70.47636107905785,-34.20048459196542,0.7093167071594226,-4.437666590632997,-0.8431290142344032,,0.7332197560546848,0.9929997979944702,1.073004521055636,19.93199473296768,20.25368983926637,19.425142146148726
51,45.24975134938254,-31.621681028443433,-0.06030629175358292,-3.4805535529549547,-1.9239985649419284,,0.3734037549715032,0.35912655257553394,0.464558201038076,18.990093334641614,19.221514693064044,18.59611341405399
61,40.85415339509473,-31.172804206101688,-0.121916996816978,-4.140134355886478,-0.998737090949327,,0.7319627232986504,0.7561762407179657,0.8673202551017087,19.731668877008254,20.067278754299206,19.212742449414307
63,9.722803486545704,-18.580226430106308,0.18490653082849687,-2.5703665808271428,-2.226691844528909,,0.3071354474694895,0.4288103978631616,0.3517585294971247,18.314593103776392,18.516953329861337,17.934203960372372
65,45.40594097530061,-27.034498239787478,0.013625078961292586,-4.1050105490038105,-2.1607192301973006,,0.3324355817694651,0.34343263734860674,0.3939109252528639,18.72747051899421,18.973107242255818,18.347228272327744
68,53.380672913017605,-32.193742747530685,0.5541923687732022,-4.044061441871938,-3.159956881503973,,0.4521613286552645,0.5400194086043689,0.6197632072842888,19.301001427989927,19.55886478300312,18.882032319494158
75,51.02604763039444,-29.828479114184827,0.046619757685898516,-4.1334279289203915,-2.2698125846643395,,0.17660205872981558,0.1698496270724991,0.2197137377726823,17.937185565422663,18.13840465007648,17.578453035346588
78,16.019614463186592,-23.94245359445848,-0.7278023530411364,-3.1763695601506474,-1.2259784310672386,,0.5098724180654871,0.6944157932608309,0.6016684784075008,19.095024553600663,19.36608148009384,18.67782628086332
81,26.132202782924942,-24.07833316321489,-0.26070646389254964,-3.0588909373896467,-2.222742231146161,,0.8434124317446049,1.1078379975935846,0.996649877397148,19.757391725731907,19.937755205251342,19.317389001604575
83,50.66040920315115,-32.2478927730322,0.149260513290719,-4.8209746308323504,-2.0648771175140603,,0.6298885010757759,0.6058045289758195,0.7836553998678032,19.65008203885052,19.89873486025261,19.209178165991183
97,34.722708965738576,-30.131143727208954,0.050358738423418516,-3.7852881961509244,-1.1226980726874929,,0.34288805178659304,0.3542308777947177,0.4062963086516841,18.767761781485813,19.007529164389158,18.372789697509933
105,64.41328241543155,-32.22138008378159,0.0023939751612739035,-4.888582631059412,-2.633415415896553,,0.19199769492998,0.2293041777319685,0.2631651573452385,18.13733859564733,18.349817657661085,17.757377556568695
109,51.02604763039444,-29.828479114184827,0.6469608192260973,-3.707817340165224,-2.2269769570814506,,0.7510079894668579,0.7222929781048898,0.9343422927778848,19.859690385656236,20.15757141729053,19.353117231624047
