,ra,dec,parallax,pmra,pmdec,radial_velocity,parallax_error,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4,223.87859864928575,-18.80282948271756,-0.16399203035349108,-4.300182681098484,-6.621481922335299,,1.1161008938854728,1.714349889972389,1.2816243315379792,19.944619545557497,20.183967347823845,19.52870651827066
8,243.98992372764656,37.034911781968496,0.1811432051838291,-5.819388825366629,-1.356946381316362,,0.1240558365453574,0.1680088672084108,0.1815451266517425,17.506708865072902,17.863868103140696,16.967791674692698
9,226.8818375293304,-17.450999415102356,-0.0947016934745534,-5.356385408934345,-6.130347511513738,,0.33774751389844065,0.5187859058821387,0.3878371875698196,18.402883424382203,18.767012147441907,17.829272054208758
11,228.1168276635691,5.91780393831205,0.7567687803780742,-3.66824206473078,-8.098604520012788,,0.6379893985742341,0.8907356350076564,0.7306815755922181,19.293742005423997,19.615971015681183,18.924260340696048
15,215.59458217659198,18.985525995137454,0.4744267178954482,-1.55871467224529,-3.4844256372880555,,0.5447361001419564,0.7155210519601919,0.6437078076941142,19.21002118386186,19.513453584306,18.67388360113446
16,236.709153434319,6.164073689743468,0.05894075311169113,-8.14196809385255,-4.812639740476123,,0.06576371021058841,0.0919374272980448,0.07711364016041218,15.712125662149878,16.17697254781757,15.075242910207873
17,227.10577089038654,12.254399501815806,-0.07102201014661366,-3.4846159405514263,-6.007223860776263,,0.2880146411214831,0.3922587463035123,0.3398680233383172,18.312005231836817,18.66399305916506,17.772826066084907
18,232.84255754163019,-9.486720284309602,0.2403677248207916,-8.066180819631636,-6.338506913786558,,0.478165645573741,0.7201166427556552,0.5521235710459433,18.89539469788864,19.18706504288798,18.39862590693768
20,226.1057385777465,30.065080225664865,-0.3646335406687829,-3.685360874763484,-3.0056467041869133,,0.4113035978928185,0.3955772838557401,0.5117100644372417,19.115359496004537,19.42493682659104,18.61965220771931
22,228.48643678133925,9.557945654398743,0.2735991869364298,-2.276858607473792,-8.445616876035189,,1.0404037190631044,1.4544806090727362,1.2199633773167091,19.95040324749409,20.22380316548928,19.546807961196908
27,224.28456443249885,28.96681634628161,-0.5927584796489911,-2.4080943308533387,-3.202003631128162,,0.8535428687608381,0.8817782890398026,1.0113834968776738,19.91843906978549,20.093911430347692,19.53151828861764
