,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
0,170.25988512464437,61.67902942979568,-1.8197353817881052,-1.6943986669636666,18.428856241912232,18.90075994943935,17.772835400278368
1,164.02147308128133,60.81155364044978,-2.0993897093185567,-1.7346414011335491,19.235799147639092,19.628999777606897,18.610198615634864
2,134.50169324639373,50.917462321336004,-2.356366016412529,-2.5618858526162263,18.748658594287626,19.222674527058576,18.123621395402342
3,169.83843397489153,61.58180487191715,-3.104887981569983,-2.1285929561160133,19.60417199537101,20.05124216066163,18.992827598199337
4,169.0023130198986,61.50842347121526,-1.3108407818502028,-1.0346699210980397,18.52910589100513,18.983701003368463,17.889738247259203
5,135.94421891752927,51.4705050983363,-1.1991349464525454,-2.6833914903851057,16.929589048754085,17.514814081209284,16.211913360016588
6,169.2856839412149,61.46693035550968,-1.7581236883317293,-2.0867571503896327,19.962376863649816,20.320940944455625,19.398394280270324
7,124.2934837004355,43.549655791078855,-0.9473295475120131,-2.8565059402468163,17.419780397067722,18.006943245153142,16.70170467989697
8,176.5132715085356,62.193245027974044,-0.6508250964521851,-0.7207203520067664,19.813719952714845,20.222148797569016,19.139906668736746
9,148.8791501112016,57.178930425777644,-1.5685277109465168,-2.1223842500173253,18.38855562184525,18.850951914767126,17.75542675521702
10,164.24614320619855,60.84337927384619,-1.5152231921640622,-1.5193523365327501,19.039483979282068,19.528699034268282,18.39771594695805
11,171.6002464364823,61.78057483185435,-0.8947584641675544,-1.935672710743028,19.202178530701737,19.634113783389672,18.55654355611724
12,149.09732486182716,57.345477299211005,-0.6755398958960722,-2.134631377463467,19.907206609484245,20.244954378420253,19.330934671755312
13,123.08989629917663,41.931268202567296,-1.050955602396014,-2.9774272652235627,18.55426298717348,19.043833810275274,17.90254849863063
14,143.80668628696958,55.53989348068202,-1.177115262470764,-2.729519818628492,19.299189276546734,19.742595772251526,18.675900561637388
15,121.76079154190336,40.731737512603814,-1.2489690189718603,-2.91754237362176,19.28574241724348,19.78391343996286,18.671053374399488
16,157.16089594772413,59.688820101513464,-2.588557037763877,-2.9111764805681326,19.820723746535677,20.14989411619695,19.201538482223878
17,120.90092659785265,40.028001938114905,-0.4678745773894089,-3.2281970264983513,19.163673580494077,19.558127055562693,18.541202412972588
18,161.68080810083038,60.37188886546322,-1.403386457063024,-1.4351213205672793,16.64411448411674,17.295398825342158,15.88356486963866
19,170.76026220995502,61.652169590439215,-1.5248362078643911,-1.0541663092513025,16.660206156427652,17.316645013506857,15.88819394083856
20,171.19537262909637,61.694666547143534,-2.199542684806392,-2.2522865702856203,19.61990965880605,20.1192884659992,19.014671298969244
21,131.05587655081717,48.26525469530072,-0.9377100881828566,-2.4145118602563187,17.493653031528947,18.040378371104367,16.799583929184248
22,139.08960463399168,53.34183036749493,-1.2466127920699546,-0.34222957991318825,19.53277904066129,19.88003883817055,18.945200348879837
23,143.26124922919755,55.17597842906833,-0.7699265994891014,-2.0465974481068057,19.725796866246228,20.165170864984677,19.15365991712636
24,135.09738359124734,51.30663691580186,-1.0005536325579425,-2.542308461194533,15.641347967275355,16.41857788968664,14.797988888196516
25,158.9808996232074,59.995170793895156,-0.8241181017505521,-1.9335921001938918,19.721861794227095,20.08762242492645,19.07694276470384
26,121.16128537993569,40.391567337571956,-0.8322864787311959,-2.993248090976338,19.363463984265508,19.826007726008566,18.735861671096565
27,153.96810763794647,58.63683223336387,-1.7503496930283005,-1.6902439638939772,19.32448842020071,19.69771317417896,18.69861252231429
28,142.99997741796656,54.948254983644155,-1.8477065952195149,-2.52570422357836,18.92090681550444,19.383330996907574,18.28806285344732
29,127.84472531960262,46.35938739794357,-0.6255698267733136,-3.1092871093146006,17.364919753575506,17.920554488221107,16.662610287891418
30,181.0392316534388,62.31228603681932,-1.343406716238912,-1.0273547723589154,18.44361165667713,18.958913378329136,17.776138113552168
