,ra,dec,parallax,pmra,pmdec,radial_velocity,parallax_error,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
0,20.937946078170086,-42.95448938793138,-0.020262241515316817,-0.03514184968247362,-1.516400342228904,,0.8031584010989613,0.7724494034098831,0.9992235401907664,19.93808917927995,20.198649190474985,19.46056471676693
6,52.832836789698895,-53.697882181686495,0.9036117176978314,0.10423820420580332,-0.03323854260425865,,0.3397570216552708,0.541473228766608,0.5496069467952908,19.05721977801205,19.4742850782988,18.481357736183487
8,65.75142202045066,-55.67814981868868,-0.023663719714533987,-1.2895612370870513,-0.1937245764865897,,0.1954773231082415,0.3296794965465082,0.33584813577502914,18.337677971523682,18.772184634824804,17.725568509681914
9,50.67070824131424,-52.845351612201135,0.4673464225587629,-0.32015731943666625,-0.2015943843835999,,0.7097732120858078,1.1311707141996798,1.148162548962336,19.97638013284361,20.209602815726786,19.49214957813427
13,77.69005798761785,-56.386241803700024,-0.05778535849490845,-1.008420609183764,0.6758669069956337,,0.30651812524402505,0.5169537806534923,0.5266265125160317,18.95603734794529,19.378689291764776,18.340736965553333
14,70.83481253331776,-56.329105998121605,-0.2673121824366048,-1.8396015371139376,0.4322915671453759,,0.2978648435320592,0.5023597115670423,0.5117593735298352,18.921007379259546,19.331444085609206,18.345640096430415
15,87.74104902048876,-56.6190600924864,0.3230614965138282,-2.112341641483729,0.10157925401395967,,0.6834056267196362,1.1525880310383765,1.1741541272532314,19.963095807922013,20.22868131955745,19.46272908014208
17,41.89365988186629,-50.97515162812794,-0.09366603302285456,-1.016362212211091,0.06839178778021793,,0.6166294073734951,0.9126931956819612,0.9535295802762324,19.767036687916807,20.074358747037845,19.320977142702255
18,76.25718245634455,-56.56980888565259,0.4472329160042717,-1.4979721681206517,-0.788896261652092,,0.5917416505864249,0.997993456984819,1.0166669312319363,19.79190339252936,20.037846640887533,19.31910509014345
19,52.31178134189375,-53.68062357838251,0.001780473930985439,-0.7791582637422739,-0.6469232519687679,,0.1261734831432661,0.2010835948863269,0.2041041639082245,17.634013305535948,18.1136685473596,16.99361240083813
22,40.3095026233133,-50.55921244610374,0.610174863757478,0.5164207766683265,-1.1133187793595172,,0.6250586700188688,0.9251696208557428,0.9665642347642772,19.783843763238085,20.053210733639734,19.345504697357224
26,40.98913220169233,-51.03341570675026,0.009378641673473236,-0.3672246072942913,-0.228966060463862,,0.11543073815243655,0.17085278130509646,0.17849720105029096,17.43427545286232,17.952737580977768,16.775401494334208
28,0.815432925788634,-31.2089325996984,-0.016732758707819775,-0.3146896867949849,-1.1207421478454265,,0.2334347206516209,0.3179241531262746,0.2754616806196831,17.992805731519987,18.516370601217968,17.337303674993215
29,32.39057300671425,-48.072938690624724,-0.08416539642419713,0.6332912583301492,-1.3149336989062324,,0.6395739870332379,0.8661752969448855,0.9359619322437626,19.772797115042128,20.064557680821654,19.305582055566017
33,27.295643306824175,-45.79153240644078,-0.5498368670194611,0.330343168317599,0.3090453471267549,,0.7713616508746646,0.9212425657104591,1.0572809756728845,19.95186146154045,20.25411579174669,19.52295801681473
35,21.232889901430728,-42.74325971880089,0.03309249237078465,0.056326043333126186,-0.8760741835071935,,0.07659221524542935,0.0736636893683982,0.09528972661416647,16.498174278751893,17.086124391611648,15.784958583123606
36,23.08988257945053,-43.7721724134406,0.3890236184199618,-0.15588649803523422,-0.267560548936854,,0.2834655130885938,0.2726271258234417,0.3526644471661033,18.61241834117585,19.104477421636656,17.989405055951934
37,7.356153990890696,-35.34155571462127,-0.8114055136219087,-0.982098510967702,-0.586810469144694,,0.6812588023403371,0.8439777035930836,0.8051547292278016,19.52843436952985,19.951363405973687,18.94727890993175
38,63.84456791645792,-55.53416204806105,-0.018155833417415987,1.274519595296001,0.4142985454891845,,0.4507612262194297,0.7602249292129931,0.7744495120880803,19.45391324714659,19.75448069082027,18.936779029196547
39,80.61339302007539,-56.74359885417278,0.04779589294987159,0.3827882926910753,-1.2664403631675885,,0.43801593888742996,0.7387295463003289,0.7525519286635367,19.415567736047727,19.727143733126205,18.953210184459426
40,62.29318292736909,-55.76193836810298,-0.6146454198094435,-1.8586142478995256,0.32138795511873697,,0.4242612191583371,0.7155317195482472,0.728920046941042,19.375630172840623,19.76673598414976,18.84449998427023
41,31.76982964744197,-47.46685010514877,-0.30074759101269183,0.2804047212171565,0.12926743295262275,,0.471582556583059,0.6386644379911774,0.6901208145117936,19.396184018290995,19.821432473352715,18.8414967036842
43,55.89749854251542,-54.005002875300534,0.34174466195048914,-2.222123464381704,0.5739607016822973,,0.6880852496381982,1.0966064512017797,1.1130790802970851,19.937121092309614,20.255684289258078,19.563919262485975
50,65.75142202045066,-55.67814981868868,-0.06487842882961621,1.7558846629067633,0.8890317621997783,,0.6062467259221072,1.022456785303413,1.0415879933444332,19.814063939667804,20.050345068626022,19.375573644625586
55,74.65881484816629,-56.291368376176216,-0.046322830582184615,0.4770667139982965,-1.5090389932926984,,0.6554507272006325,1.1054410932100427,1.1261250221890249,19.906693436218394,20.11862534075752,19.499750257239747
60,64.87656197532407,-55.381270771589186,0.00510199371321636,-1.1502616087878816,-0.3967248852436037,,0.15180698134889567,0.2560279033268542,0.2608184462165459,17.96455850391225,18.414107428570237,17.34081528328898
62,73.85620385746896,-56.71431201799397,-0.7792986783443627,-1.1659547692954404,0.4167342345758877,,0.594042072530452,1.0018732008665756,1.0206192690740583,19.798432957549032,20.080808197493624,19.35666496113364
63,52.832836789698895,-53.697882181686495,-0.03136294871901324,-1.5764836187203142,-0.14018876590155202,,0.4977177675795582,0.7932164148155748,0.805131682849285,19.542711162368654,19.834927001079773,19.07293301949312
71,59.155211325186826,-54.63929725654273,-0.6545966857439247,-1.2728926979819717,0.10978020172975594,,0.453735391301728,0.7231213828543269,0.7339837212233832,19.4292026104545,19.80531491126033,18.842379329470013
75,41.18811410585233,-50.81092957733305,-1.20888164470781,0.16812796585532394,0.7015590946414955,,0.5766998848282947,0.8535922136365816,0.8917842589894488,19.68357821465992,19.984803975459627,19.179748118909405
76,57.70593964873572,-54.09227700648543,0.2660310816839977,-0.2537733088893992,-0.3334188337725173,,0.3560587582140202,0.5674534245134519,0.5759774029932678,19.12176863353345,19.558974198813537,18.507452468971206
77,30.12872926122928,-46.37842502808514,-0.058793112809257024,-0.21506946422348405,-0.5241016186801696,,0.24719929499373355,0.3347821004087148,0.361755065844488,18.543309674251887,19.006508595625746,17.923235358394354
78,62.29318292736909,-55.76193836810298,-0.04845476745020187,-0.25409187751686124,0.6657514758350052,,0.6051914483388624,1.0206770219179269,1.0397749287729399,19.821194991941862,20.02340921720865,19.37062894757263
87,39.50267885299427,-50.288232000062635,0.4780582831530142,-0.11808361593761407,-0.7648851052612857,,0.6010917207633756,0.8896953615272477,0.9295027602532993,19.739687869561862,20.138789414146725,19.200966315896693
90,20.585703879072007,-42.88320519208093,0.17621405720012834,0.060234129496571163,-0.6334499834448764,,0.09296270587479508,0.08940824947369998,0.1156565428971715,16.85417133445494,17.413686711224234,16.162904125939278
92,0.9594617149743137,-31.02432051667088,1.0441232494225756,-0.713251532584624,0.3640066893040649,,0.6532987692014663,0.8897539207408028,0.7709169244774765,19.40187176663936,19.87008497214183,18.807224756157783
94,45.16155432575468,-52.451903362201904,-0.28817746397743355,-0.2813548682269421,-0.029547581925100236,,0.20607901215364408,0.305024233220791,0.3186718499197078,18.33026535464315,18.775333873703385,17.701897843400452
95,2.3400704320001657,-32.533210324264566,0.6045674541232083,0.1244560899811786,-0.2854630367903175,,0.3882873032857768,0.5100226323120942,0.4588342294340554,18.766068669893034,19.230646898220726,18.1434122891953
100,9.502550464546246,-36.64040042501409,-0.3646357442624783,2.2103142359917203,-0.3748494995865053,,0.9606630059653968,1.1166469476556542,1.1414063034795046,19.994430038220266,20.48894807327541,19.402910471519746
101,47.80675911673482,-53.074910551233714,-0.4648992399411118,-1.3455037720567962,-0.25922373026431,,0.5418774870631147,0.8635940799295876,0.8765665231903323,19.650329172673853,19.961842174248407,19.23946682773281
102,48.12610923502774,-53.03417775370733,0.02220372740255672,-3.5347136806067416,-0.8887538819210024,,0.6919650108303808,1.1027896547433564,1.1193551645785569,19.94737609046322,20.141976643277413,19.49369221647065
105,84.39800731156431,-47.70291507848477,-0.024430722368252264,-0.5867376908423374,-1.0885020083258077,,0.3133011941858969,0.4993103847148698,0.5068107553007154,18.951161532800032,19.462791262592326,18.2808471746398
106,60.18874261671167,-54.99250801660037,0.4156740486976647,0.6032484306723441,0.4273883509461439,,0.6472102123790113,1.0314636079638142,1.0469576964954592,19.86673553458729,20.14548682112179,19.4477315909388
108,14.705421097149596,-39.33387483381176,0.2517490278709957,0.7980191215865601,-1.0334705559483168,,0.8497740497276949,0.8778847964920056,1.0069177324593346,19.90548257989442,20.30461707427513,19.292239242408684
110,48.39561330300489,-52.82236873386038,-0.272038874113709,-0.07277888013832301,-0.4838422373697389,,0.21831556685938647,0.3479311017663274,0.3531575346254782,18.459342811455354,18.88929972117763,17.843918903379453
112,76.57717742957405,-56.87638204432884,0.18760349900174272,-1.9661034074347232,-0.16902705833280487,,0.39408220968060825,0.664633740730619,0.677069715089404,19.28093536749596,19.68925603458745,18.734597358247573
116,9.487925996603078,-36.17470059856482,-0.1488591333478566,-0.2300242005604176,-0.888202663665576,,0.17993561925480225,0.22291330432953696,0.21265929233037825,17.684095413213885,18.18225503654526,17.024039941472562
