,ra,dec,parallax,pmra,pmdec,radial_velocity,parallax_error,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
0,258.46546199479496,20.758041884554128,0.2233923818609383,-4.736358715728146,-6.246652658808769,,0.6803885613885321,0.7028959921069162,0.8062087888470403,19.639661919475067,19.939999540303216,19.194286698166863
49,259.6363548988848,27.27767565983603,0.6154389580238793,-4.9983289074574735,-6.2358937063012005,,0.7404267115504407,0.8842967532749691,1.0148794344580605,19.907814477431387,20.20800970199629,19.486101613588108
80,258.15654776910765,22.450934585976572,0.19099442077991696,-3.8472585740355987,-5.567566149694363,,0.3098238804978641,0.2979776733023575,0.3854573572076368,18.74145097700282,19.016522630940774,18.293417200882665
160,255.69170379729616,17.637167354514716,0.058447527117400935,-4.811038950669718,-7.458124171831104,,0.16852651950681374,0.19589036159168294,0.20023382858928127,17.647244989876558,18.031559274000443,17.06815923030779
212,258.29751135942126,19.98885160324793,1.4069772466978103,-4.89287365831226,-6.953626208815695,,0.676160033301605,0.698527583210172,0.8011983041019558,19.638224045231453,19.87155420099845,19.201761838787707
217,257.8443250416878,21.5238810486913,1.5749178463755793,-3.2952274170398064,-8.249058110039847,,0.8950706946880206,0.9246798662585024,1.0605908177295684,19.980576359384987,20.20645293886457,19.54919245651896
229,256.59930680547205,17.42174358971116,0.281262857203629,-4.1008435371292915,-7.551868945372767,,0.63181768771023,0.7344066421580251,0.7506906031814844,19.491287175155087,19.81210093190455,19.07389936173627
252,260.31571519750804,26.832392638359586,0.7911708512383715,-4.0208082378448085,-4.650874027090677,,0.6219914131515726,0.7428486555584992,0.8525439233482257,19.697956169808744,19.960089455353177,19.313446055269047
271,258.29751135942126,19.98885160324793,0.2430553830445044,-4.784826788741643,-6.437216311143278,,0.6201952525783668,0.6407114729727702,0.7348842878979017,19.533058165891365,19.756034188212734,19.1094763947558
298,258.29751135942126,19.98885160324793,0.04976860434483665,-4.270085175202708,-6.8737069724178514,,0.3219818883871437,0.3326331330680632,0.3815240922591697,18.682610519907275,18.929472866148195,18.24157830642411
353,259.3501483525935,24.44231583467886,0.19720582962422206,-4.2125092723995765,-5.428100361535523,,0.08605257846349337,0.0827623328163598,0.10705953144134617,16.720283416314512,17.14768515502665,16.118791782585493
381,259.92847167300545,24.643499910031057,0.33994246699695435,-5.024083481213101,-7.009668641765815,,0.4907006949843963,0.4719386095879339,0.6104893940541164,19.341888628031327,19.58274250432747,18.930121012122985
