,ra,dec,parallax,pmra,pmdec,radial_velocity,parallax_error,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
19,243.3782610318409,58.46195112383833,0.88311554961135,5.333195729883161,-46.96314747184576,,0.022846963395979882,0.0385322208747066,0.03925319798047034,14.434486920791226,14.68901486737582,14.005678641830402
162,313.18121755302485,-54.48087805640164,0.28286895274179713,-20.830392107939943,-5.161407236466008,,0.10778055785861863,0.1335239814898645,0.12738187834133072,16.823199193775768,17.14366608210899,16.32389023487563
220,313.18121755302485,-54.48087805640164,0.5886317254456293,-20.74810916168045,-5.7665550836081225,,0.2669330054083865,0.3306900463433925,0.3154783042115964,18.286966889959746,18.778070181656272,17.622297610409067
257,313.18121755302485,-54.48087805640164,0.5033400800593193,-20.859965066817974,-5.2889678614970235,,0.1168372252719463,0.14474383705642505,0.13808562055182946,16.966826589813586,17.299225989955293,16.45107518623334
258,313.58259327032965,-11.195600007040449,0.7736443829424045,-18.411299801852874,-21.93238624380073,,0.1934771796179277,0.2937741606687952,0.22219256940724366,17.569347777314697,17.954228594902503,16.99956135902089
301,313.18121755302485,-54.48087805640164,0.5619673560095162,-20.741571990830685,-5.19399777838614,,0.0632143545127018,0.07831312501573562,0.07471072126501177,15.812722762991026,16.077097488116483,15.374051409085245
421,313.18121755302485,-54.48087805640164,0.3910347495492493,-20.946629417271946,-5.005859990007369,,0.120556194545434,0.14935108343091427,0.14248093359309222,17.022552285957588,17.363194934376825,16.5052634832291
490,243.3782610318409,58.46195112383833,1.0193625344356574,5.203934455086712,-46.78991547628133,,0.08450743239663326,0.14252480709249854,0.14519159142479066,17.000340124763746,17.469239484168735,16.360756548231357
594,243.3782610318409,58.46195112383833,0.8592098630635386,5.398597872721809,-46.95733488585943,,0.0606548986079487,0.10229665578689802,0.10421073042740132,16.39856915889706,16.8013213226653,15.832218656749244
602,313.58259327032965,-11.195600007040449,-0.1238091727223712,-18.057158425735004,-22.995787840605523,,0.4892265007773573,0.7428375011803325,0.5618362508927304,18.914164369367803,19.458742842027334,18.228720095045787
716,243.3782610318409,58.46195112383833,0.8719927288499664,5.398858607768501,-46.82895257117015,,0.09260796789681948,0.15618664992415898,0.1591090612533013,17.159485231689914,17.661750818278076,16.49442697419035
739,313.58259327032965,-11.195600007040449,0.5478905557245701,-18.858003988108766,-22.190750661516176,,0.11919683744296315,0.1809874991114281,0.13688772820117875,16.738933936857105,17.05029988086435,16.250982424710042
803,308.74555165457133,-43.28571603240253,0.6517625971425999,-19.86392579850816,-8.643935626967519,,0.2913376035913545,0.4072889084815383,0.341618547016274,18.28648822614264,18.762323204946306,17.63846315460298
814,313.18121755302485,-54.48087805640164,0.6006247527201594,-20.92752727023301,-5.190875010160979,,0.06892520429427051,0.08538801324860071,0.08146016463916507,15.983146980877464,16.251254614412055,15.537095737876244
878,313.58259327032965,-11.195600007040449,0.2778281214377989,-18.94804208870004,-22.618361016115607,,0.3124303020323985,0.4743916048823842,0.3588004110166766,18.299695054463644,18.77364880047017,17.664483239085953
963,313.58259327032965,-11.195600007040449,0.3766362059954797,-18.48958265889611,-22.154376765070303,,0.06551353213156227,0.09947520918179896,0.07523688356426204,15.586722624405544,15.899796167418922,15.093560513120739
990,308.74555165457133,-43.28571603240253,0.4566306229811717,-20.447677826153864,-8.389163429747217,,0.04778139218685475,0.06679821221022042,0.0560278164303966,15.066533789962149,15.44145619486221,14.516414225106294
1031,308.74555165457133,-43.28571603240253,0.3159304330407682,-20.244176110896962,-8.334654747521004,,0.2811662348078368,0.39306937197634734,0.3296917370811383,18.236888707658828,18.696566232876307,17.599644758005738
1053,313.18121755302485,-54.48087805640164,0.16621828435070812,-21.740680735461737,-5.5145434680639145,,0.2912739782832988,0.3608448690328279,0.34424600505731784,18.408135483371254,18.94966025283225,17.747681228058074
1146,313.58259327032965,-11.195600007040449,0.4337956964161372,-18.633177644383863,-22.398541815615697,,0.15979230002342062,0.2426273161176831,0.18350826585238847,17.253030355601982,17.593316148640877,16.716667873863376
1179,313.18121755302485,-54.48087805640164,0.4427308990004635,-20.988593042409686,-5.122838966093854,,0.06464042008268611,0.08007980684178159,0.07639613572705962,15.856640603709414,16.121827317243554,15.417514345607138
1301,308.74555165457133,-43.28571603240253,0.518879714749808,-20.35696858131616,-8.453533979518685,,0.07470870052223963,0.10444249116724752,0.08760241522985747,15.974955855785847,16.249161131710324,15.528834628607367
1333,313.58259327032965,-11.195600007040449,0.2277922805588244,-17.554100463711755,-22.1353812679322,,0.5514733890067773,0.8373526650872793,0.6333216635941818,19.070443107923712,19.666539105151926,18.351988543156608
1437,313.58259327032965,-11.195600007040449,0.4647890087674825,-18.428918458046123,-22.32066299359181,,0.0932942781057632,0.1416572657294522,0.10714077703762796,16.282557913045096,16.571143065893047,15.818879786684755
1561,308.74555165457133,-43.28571603240253,0.4279935757353266,-20.730075816016367,-8.507505116482639,,0.07365076933442176,0.10296350722070796,0.08636189937893257,15.947062653702636,16.217114871523176,15.499796542094696
