,dec,parallax,parallax_error,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,pmdec,pmdec_error,pmra,pmra_error,ra,radial_velocity
296,-2.4258776279525334,2.5058294676180144,1.079487435691226,20.16211661144905,19.914276262739826,19.406471209104488,-4.124627759116739,1.2397022090808132,-2.458451841993233,1.6390848574439054,9.954493730270594,
954,-5.079758947594748,0.11731848215419555,0.17288308873825234,17.842713201891968,17.419629524259765,16.823454451740705,-2.801082675046333,0.20154568306537285,-1.0991831418375373,0.25448451163789104,27.174959888951985,
947,-4.987536037414935,0.9971753908290912,0.9040649634080972,19.948601795568575,19.701997533844217,19.214535672889273,-3.8646193597452094,1.0438967765144909,-3.248145136158428,1.3615202855096231,15.95732150498582,
979,-9.180615772640076,-0.7712679524241501,0.5238188393814517,19.471935581082995,19.095463034127125,18.542111778798205,-2.172587268935388,0.6142229104768842,0.15993283860442298,0.7322968291899162,46.59846397177758,
464,-7.9943511817683826,-0.2212820309441647,0.2367081866145022,18.44171639631345,17.983977273837365,17.366714409100684,-2.258034454290266,0.2775608290220141,-0.6453390690884258,0.3309171825621683,47.18792488576479,
54,-8.898058066351377,0.35081356057916063,1.00307612948154,20.23883251721817,19.938494363190404,19.47152595895148,-2.424387173766418,1.1836672610020036,-0.9339552044382556,1.3661298032117986,53.99481870227591,
274,-11.661753014878705,-0.26358344943116513,0.1809110916032637,18.19141961763858,17.69321041221411,17.03891415702822,-1.5401864006636647,0.21381216723180574,-0.09779852189591692,0.2241217685867985,72.64459306253926,
560,-9.159098393052835,0.016022227222855616,0.0779599107662105,16.6356757725761,16.090446824395087,15.404625718693314,-2.0645603123646667,0.0919956036560226,-0.2224808207861342,0.10617674414054784,56.036171822771216,
355,-7.450564525091036,-0.3076632185463359,0.6992043403234377,19.66652516263771,19.414589786974602,18.987030764101483,-3.029228087266369,0.8007903112343036,-1.9690699873400743,0.9762015222665796,40.28971411382072,
737,-7.195464556067481,0.03785790407699953,0.15467274844591353,17.656988864288326,17.227998168552517,16.628119818429756,-2.593634067352571,0.17714483624368366,-1.0911144299720354,0.2159479908494429,40.87827830599075,
570,-2.781244100779379,-0.4824254099856895,0.4792725316958562,19.14384034230521,18.88509890249404,18.465214012260013,-2.9864731284070283,0.5503510851253263,-3.210023366841812,0.733124508229678,3.939919615157411,
375,-9.044051521449367,0.3186197681307233,0.5026688422213116,19.463571091974735,19.070392326513534,18.47035231638128,-2.338708864594641,0.5931679901212303,0.5677218188851869,0.6846049530252935,56.665975853168405,
898,-5.141910267276667,0.7813256906008234,0.508796050938674,19.20567740104121,18.988517716829158,18.55891098045597,-2.9608847330327035,0.5909591437931919,-3.324145295701152,0.7568231414005748,21.515019288021264,
917,-2.840313650535357,0.40518849039759103,0.4559830851549612,19.114439648295626,18.818195109975335,18.371474242431862,-3.911799458010469,0.523607695241502,-2.4123208258930724,0.6974995497497498,4.892230560552371,
232,-11.556878760925356,0.20017833322923675,0.08604700825977446,16.965066691069136,16.3950904430456,15.680806202389665,-1.7153128301605338,0.10169579519304364,-0.12498352785935855,0.10659936603044406,72.98691451972071,
1078,-3.0850829913377606,-0.1633369868458418,0.37714547767496703,18.944349615358906,18.574507234986253,18.030148319212287,-2.5997573281512363,0.4331204480570087,-0.9938189061759451,0.5726545961275159,11.829796577685759,
658,-4.004119575959604,0.5805018237168317,0.7366424952836941,19.65883104871845,19.456895613159766,19.048953181191337,-3.966777010094415,0.8459730965939768,-1.5199849856766516,1.118511915422204,8.416324501399387,
1055,-6.5677186210798935,0.1211366769245011,0.4175968016683238,19.100169592084026,18.74829376005169,18.24218419450749,-1.4124710402549332,0.4898307554780293,-1.3049804011311723,0.6083826644023554,36.30134651944154,
103,-8.529248677041148,-0.4791777579014406,0.8848245948038288,20.026677818480948,19.75077959512597,19.28642070183696,-3.990942305077266,1.0375333932695163,-0.3515169682193597,1.2369815601310352,50.686294024682894,
62,-11.437656244324991,-0.9724331083554272,0.8033041645232211,20.123435156942044,19.733951126934592,19.20149650351399,-1.3817766870504258,0.9493956552962745,0.5718862824269654,0.9951736428682122,71.63955279256601,
490,-10.36140830277787,-0.5358561749785482,0.6096819886816969,19.694182941834658,19.35562247303101,18.798263711336087,-1.9115541623164247,0.7204535484661468,-0.3920069304694713,0.8008286907899566,63.9844107078254,
701,-8.545016737971151,0.47126238173579604,0.5833208426375062,19.586859242495105,19.264300697222605,18.76369767415615,-1.3017256940830857,0.6883403600153406,-0.27965530978430153,0.7944481625473496,54.14522776557562,
606,-9.377797793257578,0.08200683739215764,0.13787527341258254,17.606721373864005,17.144558516275765,16.520682128612357,-2.0600291222775,0.16269796722660154,-0.33611483319999,0.18777789102833065,58.05022034489341,
1090,-8.766740935843849,-0.15749358009434394,0.4587013721980579,19.293247126241557,18.91719539248261,18.35091941867384,-3.430129368256675,0.5378670461794165,-1.8640827576408552,0.6412628472896343,48.919817193323496,
869,-6.106153638584589,-0.7535081549939249,0.6911435173939395,19.680543135531877,19.403991516084048,18.97027877987043,-1.6901573336471092,0.8106943106755495,-1.1762685365288454,1.006903627893459,36.247798957644335,
50,-6.8062135336037874,0.4166866811966604,0.4658364703871636,19.23087474479448,18.8978043737527,18.457663344111193,-2.189057863400318,0.5464146978793093,-1.4211407738485753,0.6786614071221441,35.6197094766383,
454,-5.552113486685541,-1.1639059174852044,0.5408287006793895,19.318715061270204,19.08875483141713,18.676341414760067,-2.884769797588141,0.630493651491939,-1.469277618386636,0.7961017400639305,29.204081177571787,
577,-4.166648708188612,-0.2837331995180816,0.28719735731793866,18.59966010871506,18.181250476988076,17.602767325261162,-2.663497534273378,0.33161819964517764,-2.0974187042100523,0.4325187279231166,17.925925744938322,
1168,-10.330905005358863,-0.23384754399852825,0.9313255418856404,20.177237378962715,19.878013627778948,19.447335527261288,-3.17910723436424,1.1005356954688894,0.5029317905616735,1.2233135113934106,59.38428172692318,
925,-2.7704696217234974,-0.3766489819921217,1.0065162850154226,20.089122744268934,19.826740598662468,19.40897118669984,-1.8026802564893305,1.155787767962625,-2.8257769959896937,1.539628724112574,6.611617038313574,
