,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
3990,3990,4565306934341124864,254.26750555346686,22.179804566759454,-0.188475441154133,0.7100007373532576,-7.22964664755901,-8.994018579529678,34.509612954886826,20.47462,21.045147,19.61064,1.4345073999999998,0.5705260999999999,0.86398125,False
16940,16940,1308628500177593600,255.8129168676397,28.709619304095,-0.20281513373570484,0.4766829061554279,-0.8569901786531151,-0.8004666272715996,35.02832387033606,20.210316,20.615187,19.384134,1.2310524,0.404871,0.8261814000000001,False
9468,9468,1193434694160507264,239.29012886095813,16.71032756219903,0.034771351465925214,0.26086435093674964,-3.2730400039161807,-3.6516221367663313,45.940248093785236,18.808731,19.402235,18.072956,1.329279,0.59350395,0.735775,False
6473,6473,4465683965320029184,246.72290579875656,15.76973736242196,-0.17538827502155627,0.8326764660747061,-8.042629251703987,0.31153950230955657,38.97684747255704,20.517864000000007,21.330626,19.377789,1.952837,0.8127613,1.1400757,False
10555,10555,1307119974520623872,254.15708122615555,27.953052006460236,-0.1556147094018908,0.4732143449752381,-6.13671526947623,-1.1869787419668194,36.249342302999615,19.940205,20.29286,19.151571,1.1412888,0.3526554,0.78863335,False
19141,19141,1310021443971008000,256.27211413789087,30.448599621480174,0.0026426237052720922,0.2372847370897545,0.4067887649084212,-5.470371702981278,35.062255893937376,19.201136,19.794954,18.439308,1.3556461000000002,0.59381866,0.76182747,False
9821,9821,4575170103398711168,258.3521927791116,27.822987184951025,0.04059490065656997,0.4615867690630164,-2.9875696441325035,-8.731058597330179,32.63754180816252,19.905834,20.667364000000006,18.859148,1.8082161,0.7615299,1.0466862,False
4800,4800,1336906947107623296,260.4024203466787,36.28473535769545,0.02532076905487961,0.19023630783106601,-0.2705079398129415,-2.7900551552522805,32.949076186393626,18.579576,18.932215,18.033152,0.8990630999999999,0.35263824,0.54642487,False
5604,5604,4558865789067427200,251.3568328878321,16.37619657187049,0.07075787538573429,0.2473345936812847,-2.019120445409548,-4.667591401628508,35.08193810983675,18.944998,19.284676,18.459396,0.82527924,0.3396778,0.48560143,False
6199,6199,1310018489033660416,255.98409302796026,30.61886901030268,-0.07022586487798774,1.1647468849659963,-4.612159360674599,0.05200478073416112,35.343043091006045,20.886646,21.192509,20.003033,1.189476,0.30586243,0.8836136,False
7646,7646,4572512618153217920,254.61398290971698,24.55268860253684,-0.016529741444807046,0.4156770908112815,-2.572763133669836,-4.442237394036218,34.93020638640372,19.852505,20.055304,19.478315,0.5769882,0.20279884,0.37418938,False
11821,11821,4564175983553135872,249.6962940185424,20.79876062045232,0.07950656713850625,0.8989044846610752,-1.2649866126447418,-3.4491516520337338,38.099849924912455,20.62531,21.081518,20.108517000000006,0.9730015,0.45620728,0.5167942,False
18427,18427,1385097334866236800,243.0059620780745,43.611393596713455,0.17979185419586632,0.3722245950890056,1.6090190037122318,-6.837679117930494,46.67375779137125,19.891516,20.791782,18.867239,1.9245434,0.90026665,1.0242767,False
4358,4358,1343747902297389952,262.8778889296038,39.8704439714653,0.0028947922759647183,0.2189254505202752,-1.1406290984562977,-4.514505937354722,31.717058632429953,18.917728,19.19992,18.423279,0.77664185,0.28219223,0.49444962,False
9531,9531,4571242652161791872,255.4490079532588,22.614569681879672,-0.07231559945001906,0.5249909069364579,-1.2729598889156764,-2.2567036136380345,33.6111824439753,20.048582,20.216465,19.503834,0.7126312,0.16788292,0.5447483,False
12889,12889,1335730190492604800,260.6943790663035,34.70417843483041,0.19025432599681985,0.5166738006452849,-3.2800069311511275,-2.178487100028645,32.387897137924014,20.253305,20.71359,19.499933,1.2136573999999998,0.4602852,0.7533721999999999,False
6275,6275,1354251566940634624,256.2637553593827,41.60078481673652,-0.3739950171024169,0.7727003188297863,-1.7950960842485844,0.025887192914062284,36.91961448782343,20.484142,20.690886,19.878283,0.812603,0.20674324,0.60585976,False
15049,15049,1343693613909183872,262.7264677127153,39.21071383036999,0.3436197751573897,0.7278846225075679,-3.5524509983880965,10.187662163707973,31.70980440731988,20.639221,21.796276,19.207548000000006,2.588728,1.1570549,1.431673,False
16336,16336,4562532110590630272,249.29661815962882,18.44698152059263,0.3185772083140144,0.8116060498232285,4.194653160507401,-1.2265464295102315,37.66436025827513,20.49848,21.536827,19.347744,2.189083,1.0383472,1.1507359,False
597,597,4562017607867382656,256.22048260879035,21.06950946448668,0.1877311803244613,0.4199691919385125,-0.2347556569744604,-0.3407482665473817,32.43144830208198,19.75487,20.515001,18.785704,1.7292976000000002,0.76013184,0.9691658,False
11242,11242,1340267497023054464,258.5903862263916,37.59475053048116,-0.0923983630652891,1.9288464462594344,-3.9812360452183886,3.9098792733664034,34.612783219828856,20.94441,21.860172,19.787687,2.072485,0.91576195,1.156723,False
20287,20287,1356027041996185600,250.19231028453515,40.65100803711784,-0.0041823617238394,0.13435940272119454,-4.252995974025981,-4.8361935374550455,41.415100982206894,17.345861,17.670692000000006,16.642951999999998,1.0277405000000002,0.324831,0.70290947,False
15814,15814,1300560043335592320,249.531305914704,24.121696479492105,-0.005866092877997903,0.7785277409548288,-2.7746918669540794,-10.205457165521176,39.24519213309362,20.750973,21.174,19.772198,1.4018021,0.42302704,0.978775,False
