,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
16400,16400,4403925668497517568,234.8685637994184,-1.6625938189178109,-0.1582408209492525,1.17918633603792,-7.559894039453528,-2.526781214951274,40.37499305085795,20.60681,21.012115,20.199709,0.81240654,0.40530586,0.40710068,False
5848,5848,6261411857656088960,234.18820590671191,-17.486024675097596,-0.15031192976607713,0.8720329929614353,1.471534590364274,-4.087503737831296,30.02830055642129,20.276663,21.189814,19.003412,2.1864014,0.9131508,1.2732506,False
15477,15477,6266137077596083968,231.9488024481414,-13.87372551317091,0.034817160650224666,0.9261398907914468,-2.275345694019004,-6.456533729419308,34.14486342666018,20.212683,20.256632,19.431334,0.8252983,0.043949127,0.7813492,False
1784,1784,6258696781195918336,231.05525754348085,-16.790041776609804,0.1467323031530204,0.9822303855925754,-11.73208751864938,-3.2271328523643303,32.54136810520515,20.279713,21.047426,19.273706,1.7737198,0.76771355,1.0060062,False
4816,4816,6314778544297301376,232.74863471832646,-12.222250942118482,-0.2018639736293724,0.554340128985331,0.4579685517219662,-7.515662999246154,34.810490489311725,19.43681,19.815392000000006,18.861485,0.953907,0.378582,0.575325,False
18413,18413,1169763273966023168,231.41482000184232,12.642771850583735,-0.1901655047276042,0.9244453809540466,-4.791386316440853,-12.98114011361035,51.160294709205075,20.28863,20.800955,19.77259,1.0283642,0.5123253,0.5160389,False
15001,15001,6264623909079264640,233.67623052954067,-16.068322974129284,-0.23177274113188226,0.9366372486027618,-0.8638442854322783,-1.2474961057524805,31.400957167458802,20.14081,20.799149,19.231167000000006,1.5679816999999998,0.65833855,0.9096432,False
1538,1538,6258359029262422912,232.5590649325618,-17.690446271799487,-0.10445637538385892,0.8289084031108229,3.261526464940359,-19.172493601763488,30.91848139283135,19.838135,20.589647,18.55017,2.0394764,0.7515125,1.2879638999999998,False
10287,10287,6267122201360458752,235.4510554004724,-13.270174188333009,0.3189668028476331,1.0674261385470658,-2.452014329928028,-0.4360604584205796,32.211308749596675,20.417274,20.942074,19.2336,1.7084732,0.52479935,1.1836739,False
5649,5649,6265766129861056896,231.9955826449899,-14.716256592964418,0.09946846948351508,1.3807340137804227,-15.9209471721445,3.058892168289584,33.49321305947041,20.56243,21.370316,19.22123,2.149086,0.8078860999999999,1.3411999,False
