,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
12722,12722,3185571505367267712,68.29493195381923,-9.310120482319496,0.12514186087072907,0.5775529183840475,26.32251552629673,0.37626300846055627,-34.892446548847715,19.868742,21.016064,18.688944,2.3271198,1.1473216999999998,1.1797981000000002,False
27720,27720,2375567065916031360,8.558106853804231,-12.593962844159536,0.15239794519176098,0.4509499315843785,-4.976122600575127,-6.8464057204297415,-74.91727944157066,19.299828,19.758370000000006,18.327765,1.4306048999999998,0.45854187,0.97206306,False
13540,13540,2982791565153804544,76.61586207820497,-17.512887656998867,0.1466935895394262,0.6233803481005348,-4.617968282530711,-1.8454397565672247,-30.83160149728588,20.228735,20.981289,19.104544,1.8767452,0.75255394,1.1241913,False
30700,30700,5096280959322515840,62.28061488209568,-17.838779283673485,-0.051998462543263416,0.20485620229625545,5.127382838424589,-4.02716530527276,-43.692215496277036,18.495192000000007,18.702442,18.07309,0.62935257,0.2072506,0.42210197,False
10334,10334,906308262042321536,122.10523922069149,36.58549110401146,0.06955919791652355,0.646282910083232,0.9822533967206863,-5.644380243517865,30.486399511092984,19.790852,19.911001,19.31572,0.5952816,0.12014961,0.475132,False
2721,2721,93837235757221504,28.826743843468513,19.544161423874183,-0.14289571042594473,0.5870361574357347,-2.669501476066409,-4.091015513991724,-40.82951242908235,19.36535,20.037985,18.362461,1.6755238,0.6726340999999999,1.0028896,False
22956,22956,4840904853898709888,64.26549395837058,-40.911505377535065,0.21264879170550235,0.5417175933263658,1.6114385730178504,1.201304213463168,-45.90412315597185,20.166836,21.19528,18.996857,2.1984234,1.0284443,1.1699791000000002,False
24287,24287,3184048956640352768,70.43583835560787,-11.836096472450695,0.1417692251582453,0.8634366008221416,2.5234421903456816,0.4044796032726857,-34.0953452357329,20.415228,20.693455,19.257502,1.4359531,0.27822685,1.1577263,False
27474,27474,2795268551366798592,10.358388297825787,19.44385690515308,-0.30923807725129404,1.0078928194230063,-0.3802044398779941,-6.186581843063773,-43.3648536150057,20.493227,21.011965,19.42185,1.5901146000000002,0.5187377999999999,1.0713768,False
26908,26908,44212668223508992,54.02339805154559,16.63965481279627,0.0006683134861088429,0.33697836717611274,-0.22122606185949306,-2.2009129838981556,-30.755846950540967,18.956392,19.13338,18.311743,0.8216380999999999,0.1769886,0.6446495,False
