ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,b
228.13189654999863,-4.899151574289308,-5.741484617738718,-5.569390764023282,19.161985,20.061823,18.153093,43.23589373955031
228.6731943374516,-5.212715630691599,-15.53023715335513,-14.270831951664588,18.471007999999998,19.904993,17.239404999999998,42.633008180780585
228.7185198955154,-4.574734836562353,-12.8521373888089,-12.03033161885952,20.59688,20.62235,19.163446,43.049767537789705
226.22322319342635,-5.7358605573139325,-6.559514334611034,-6.2383365444446905,19.656725,20.366154,18.683355,43.94923420637472
229.5364433401271,-4.326752658506654,-10.522594946150663,0.09127818126060992,20.126967999999998,20.697457999999997,18.727394,42.636822576431186
236.87375194249898,23.312404210173124,0.8726726585576909,-1.7805566994452366,19.03708,18.47374,17.182049,50.196965965459455
228.83268902826802,-4.41885761363571,2.290206102865415,-12.08383024392839,12.250879,12.771030999999999,11.584271000000001,43.077480676459246
229.25810759970847,-5.852490255290882,-3.989229777322728,-7.746726440688262,18.462269,18.936459,17.81696,41.769002213911
227.66822649979113,42.56850089110386,-1.2814212728320595,-11.429444181938381,16.215232999999998,17.11713,15.287792000000001,57.84635133720459
228.88752732120233,2.6766887835445843,-1.086205413366316,8.1358729037405,19.166428,20.38954,17.993214000000002,47.754292418487346
212.16228023104225,21.20668840021021,-12.211010614727206,-5.8226064655178105,20.232351,20.725113,19.530006,71.44546560905029
201.5701298809388,44.386881644400454,9.179632679984623,-4.1843522071423145,20.445816,20.668951,19.228956,71.37682308924283
236.773189871985,22.53425536519585,-10.703933059876348,-13.266100640465345,16.96734,17.298092,16.453682,50.079291639418614
237.260821578239,8.945768003751887,-9.928840170673883,-4.3037163495953,20.014246,20.390987,19.370375,44.34909305243242
177.42892661276835,2.1552693008512054,-2.4615490450972137,-1.266944021641105,19.326435,19.435164999999998,18.726381,60.97981557724597
229.15325623158344,-3.9483230742448105,-0.38598656583856616,-12.812380692367055,19.684282,20.369682,18.807776999999998,43.174588592483474
213.74248429227626,42.677772638104685,3.2788721167125803,2.647255046313417,20.901165,20.955132,20.037956,66.98731907875508
175.05775536928974,39.24236905018849,0.2776706602829657,0.3464549487077153,18.394457,18.249062,17.2963,70.86156323539899
209.3911259629821,6.204269792403205,-16.253764310653544,-14.433916729892001,19.229416,19.667019,18.650434,63.82889060922169
