,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
3555,3555,6319191502934603904,228.83524600228463,-10.282528736521614,0.0576015402927105,0.11738657140048825,-6.84793250851838,-8.650791806454674,38.84937890225493,17.143087,17.526123000000002,16.595057,0.9310665,0.38303566,0.54803085,False
4078,4078,6429284704575077120,303.53107945223417,-64.69851080351984,-0.12912246283345266,0.26364824702980344,-2.7137326928358068,5.835741856758692,-33.128236797461426,18.608875,18.892843,18.145353,0.7474899,0.28396797,0.46352196,False
8445,8445,1601551866833986816,232.71365910085385,56.85594985193733,-0.2766736254426992,0.9624370272013908,-5.783551352328434,0.4088600705329409,49.055486722056635,20.576946,20.5149,19.783474,0.73142624,-0.06204605,0.7934723000000001,False
5939,5939,6332791293538412800,227.12778817161058,-7.458191714910854,0.7466159183858196,1.7360158344595569,0.8738080925566014,-7.534083700016421,42.0735951006191,20.690264000000006,20.57634,19.762281,0.8140583,-0.11392403,0.92798233,False
5583,5583,1341992527687349760,258.8788612665448,41.09781086084245,-0.03148787257029717,0.30161020715840303,-8.278291211282605,-4.599873435443704,34.91245381831452,19.385408,20.078785,18.712156,1.3666286,0.69337654,0.6732521,False
1656,1656,1276957720574747648,231.93359390265903,31.352668284130893,0.2201645148238616,0.7457338618099312,-3.3673718976579594,-4.571238314151566,55.821107960399004,20.499855,20.723768,20.165934,0.5578346,0.2239132,0.33392143,False
5550,5550,6257452752508537344,228.36580106059486,-18.026940375659013,0.041497575860606026,0.4516058898062298,-1.017994344804446,-3.6591384329273935,33.21763570068917,19.580006,20.076075,18.934654,1.1414204,0.49606895,0.6453514,False
1736,1736,3609880262366052608,202.89683544667443,-12.984849764603483,0.2657172744953817,0.7532110868665688,-8.27394274568635,-2.653867168207509,48.72052922044285,20.300716,20.952145,19.310413,1.6417313000000002,0.6514281999999999,0.99030304,False
6297,6297,6797501734149959680,305.04013114615884,-29.61390540482209,0.1570617951303466,0.7345110890211893,6.358452321133653,-8.984274631717092,-31.16013876088004,20.252789,20.999546,18.837072,2.1624737,0.7467575,1.4157162,False
6364,6364,6273153366235626880,217.41434221087673,-23.205930158380788,0.11285438256759812,0.33815889656245,-0.37060960040608004,-3.940626820730452,34.356014166817936,19.185205,19.440712,18.697935,0.7427769000000001,0.25550652,0.48727036,False
6341,6341,6478001041145000576,315.12778811269163,-49.854815528253965,0.05411278881770845,0.3573810067206679,-6.016719182484199,-5.516208381215925,-40.912262317294,19.574877,20.547855,18.66201,1.8858452,0.9729786,0.9128666,False
2802,2802,6845513936600365312,304.186799331924,-29.396135281784623,0.11266048726396767,0.6425014993836123,4.475659498483712,-4.147922152628228,-30.38623684581424,19.683538,19.99709,19.0886,0.9084892,0.31355095,0.5949383,False
8579,8579,6423768802631377792,299.21400501136424,-68.53854573720426,-0.271707412026218,0.6544007053423703,7.7300027695913025,-10.524059646635118,-31.068133043364096,19.919115,18.779533,18.212963,0.5665703000000001,-1.1395817,1.706152,False
2351,2351,6805736736938042240,313.6767886979793,-24.609768382341404,0.4524401383334763,1.1541551469742966,8.651002072341143,-22.347876432627427,-37.18678735099103,20.271143,21.0265,18.940042,2.0864582,0.75535774,1.3311005,False
877,877,4435469901184298112,248.63965206544154,5.657364347894676,0.30878735589363165,1.0405565955341338,-2.429422077909136,-10.88085892142814,32.8891140782533,20.582859,20.948566,19.380848,1.5677185,0.3657074,1.2020111,False
5844,5844,1336211055031150336,262.74543546033766,35.693323925085494,0.2137939782326223,1.0761542060067983,0.6154344878993641,-10.306676228333973,30.97122734227536,20.645662,21.533607,19.456833,2.0767746,0.8879451999999999,1.1888294,False
129,129,6855854121904571392,308.7193381908796,-21.897623189105115,-0.0567457564676016,0.8400414157997809,2.3286872902112847,0.8697953205074366,-32.021615779003106,20.184301,20.708767,19.041565,1.667202,0.52446556,1.1427364,False
7234,7234,1297446265061693056,246.57537448228024,21.038593133395988,0.6221423215291532,1.2558085514516466,0.4479462921333245,0.9221021059582901,40.94034343226964,18.73093,18.348217,16.913861999999998,1.4343548000000002,-0.38271332,1.8170681,False
5704,5704,4546195704263741312,254.6783693321976,15.733824088095153,-0.05693005506361989,0.7229589331299092,-2.9086372458838494,-0.0272437202588034,31.884347388144807,20.400475,20.618027,19.759571,0.85845566,0.21755219,0.6409035,False
6047,6047,1392404276826961664,229.36595030775828,41.66088807330992,-0.06877558466487455,0.14602272819500273,-11.940055861345858,-11.702947228178768,56.881674861302606,18.481356,18.889744,17.913574,0.9761696,0.40838814,0.56778145,False
79,79,6848520207549997312,308.08504037913394,-24.617314560849923,0.19408480290404131,0.4556856137004802,-3.1846786967951464,1.0695570762175497,-32.32804415664681,19.528028,20.959127,18.335438,2.6236897,1.4310989,1.1925907,False
2969,2969,6317441007407895040,232.18170950340303,-10.441094990112905,-0.29004316056100043,1.03866723197528,-5.551644414114062,-15.831027854093206,36.4737303281221,19.737286,19.950064,18.46138,1.4886837,0.21277809,1.2759056,False
5948,5948,3637403203073180160,204.993605848617,-2.4445825662254848,0.2840176994780417,0.6141120259074231,-1.4107687030037082,1.7583444595038848,58.196794552550784,19.951464,20.597923,19.196276,1.4016476,0.6464595999999999,0.755188,False
8906,8906,4431758916299122304,247.6972343476757,1.0411377728769782,-0.128194862548742,0.2801480709171472,-0.8168494708814117,-13.955389463033105,31.38185593090191,18.529203,18.832209,18.005112,0.82709694,0.30300522,0.5240917,False
9914,9914,4348680328804084096,241.8073370188095,-7.890657290202112,0.06869688569230384,0.9387726725650692,-0.9562477190807168,-10.446117956967024,31.088592237385374,20.210918,20.66041,19.609228,1.0511818000000002,0.4494915,0.6016903,False
2229,2229,6298338985739637248,216.73212176832385,-16.351282383745488,0.1017823261385895,0.4087180702269195,-8.671185115351546,-3.969430944013406,40.734815443953906,19.658484,20.183153,18.771225,1.4119282,0.52466965,0.8872585,False
3930,3930,6780090486486997376,312.53207978537165,-33.45306695751868,0.0786844738056928,0.20950169017087755,-0.07566718397973482,2.226129389173051,-38.24003671650289,18.348444,18.70912,17.825570000000006,0.88355064,0.3606758,0.52287483,False
9000,9000,6887336610141978368,311.782702744427,-14.368422491959677,-0.07454717689591916,0.2663157365381497,-3.7338936644006298,-3.8780500816960295,-32.013738443362634,18.918537,19.262115,18.365526000000006,0.8965893,0.34357834,0.55301094,False
267,267,6480226109082593152,318.1515451398822,-47.16071596760684,0.4147478147068279,1.0609579161024434,-0.30281823851457723,-7.2157299253727425,-43.154977669347794,20.616793,21.575155,19.28157,2.2935848,0.9583626,1.3352222,False
8670,8670,4442635590261281536,252.60690763911882,8.633609782915746,0.058447925791077875,0.2420603322433056,-1.3525487300711372,-3.386018160908858,30.78090711145329,18.771616,19.084965,18.25988,0.8250847,0.31334877,0.5117359,False
8537,8537,3647109000233478272,212.04079062999853,-2.5745473515313666,0.21278035558425007,0.6484024200035251,-8.949613077200114,-0.8152381062968401,55.009611875433855,20.071112,20.582895,18.923855,1.6590405,0.5117835999999999,1.1472569,False
1318,1318,6325231906284404608,219.69749861761903,-10.029942822865047,0.2452221777670909,1.6189141821619553,-11.059366902792089,-2.057626641344832,44.63373645270021,19.958517,20.677689,19.290129,1.3875598999999998,0.7191715,0.66838837,False
9543,9543,6681774012157365888,310.9464137080131,-39.044295862387465,0.2626475657933571,0.7012941781310266,-1.5586717702618036,-8.13940881734205,-37.78254664157136,20.081274,20.610775,19.343887,1.2668877,0.52950096,0.7373867,False
1270,1270,6266277261034751360,233.26435642499413,-13.87183805515613,0.084629640035388,0.2472181556819,-3.11204520577564,-4.1378445058520334,33.272568328329605,18.564808,19.06064,17.867607,1.1930332,0.49583244,0.6972008000000001,False
9631,9631,1236333789584609792,221.6236011218409,17.643843809063533,0.015323167826355144,0.1314151385985504,-3.6222423491017235,-8.282221196401233,61.84558653647761,17.629382999999994,17.754483999999994,17.402824,0.35165977,0.12510109,0.22655869,False
7509,7509,4347493337281810176,236.98625276182145,-9.406932065912,0.5894219188606509,1.429475300728007,3.6371289621689047,-2.6231161764698148,33.7599876585761,20.633913,20.539564,19.953127,0.5864372,-0.09434891,0.68078613,False
