,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
12880,12880,6642519424117213696,298.1129421252718,-52.35936023893668,-0.002591610975660034,0.22440304997639632,-0.9492769526731972,-1.282679456770931,-30.269551106746626,18.002138000000006,18.353697,17.501778,0.8519191999999999,0.3515587,0.5003605,False
4582,4582,1359113882237370496,254.34403105562996,44.605383885806695,0.07750406639431559,0.16382441081233973,-4.0532564298972495,-0.35713148088159186,38.51327902895143,18.821795,19.077675,18.368046,0.70962906,0.25588036,0.4537487,False
1693,1693,6515260226035105664,345.993674334816,-47.95553255964346,0.3997068453117121,1.5067555094330165,3.6647336849875294,-2.5761615909512683,-60.49645790430213,20.545258,19.687016,20.057713,-0.37069702,-0.85824203,0.487545,False
14163,14163,6672136247279824128,302.5677230212175,-47.47294948991468,0.03569647227148291,0.1210246040276104,2.56506907162914,-2.3390086957505,-32.609553417676075,17.431744000000002,17.763763,16.964270000000006,0.7994938,0.3320198,0.46747398,False
13378,13378,6481515393841679744,314.0126581171404,-47.57900569846793,-0.2979127550523717,1.408003939261531,2.684416241878208,-6.243865666948855,-40.33043985915887,20.81929,20.883175,20.25054,0.6326351,0.063884735,0.5687504,False
1422,1422,6695171290757684736,307.98310192025843,-36.89448002160565,0.4451505108397771,1.1165293618474077,-3.2144496200121937,-11.560882111279941,-35.16557105166997,20.272669,21.537687,19.002481,2.5352057999999995,1.2650185,1.2701874,False
2859,2859,2866534948005969920,354.4393257818512,29.791591156738967,-0.21471486711674315,0.5527828952458119,2.602316476593974,-0.049740777109514536,-30.413674920235092,19.359156,19.41899,17.683218,1.7357711999999998,0.059833527,1.6759377,False
6643,6643,6557046650054584832,347.8365497552968,-31.30167741061739,-0.04718476419783387,0.3029519633628845,1.7029357694765743,-6.255333379060938,-67.81537176527982,19.058659,19.409094,18.642765,0.7663288,0.35043526,0.41589355,False
6183,6183,6802838076394689536,318.65878623898044,-26.356304703046604,0.003439025056086407,0.7218708551872318,6.763248600586302,-4.880301191663738,-41.98344078286287,19.97292,20.460384,19.265924,1.1944598999999998,0.4874649,0.7069949999999999,False
12182,12182,2834403610468407296,338.412537518527,20.07936557871964,0.07567172417488569,0.6410496156489295,16.164287689964468,1.0971703601590712,-32.192821864612114,19.667742,21.014387,18.45823,2.5561580000000004,1.3466454,1.2095127,False
11819,11819,1306139652529031808,252.55840632038067,25.35572789316357,-0.193458346530855,1.0974031712080472,-6.7938070731903295,8.669812519964143,36.94511264270359,20.823902,20.883518,20.046452,0.83706665,0.05961609,0.77745056,False
13274,13274,1637777377652037248,267.89147048363554,69.10424386836526,0.4069152201603058,2.098485420474561,0.7634070489830995,-2.6953418382210264,30.529379171107173,20.831593,20.297054,19.963726,0.33332825,-0.53453827,0.8678665000000001,False
8657,8657,4447273673905518464,250.37831828930058,11.609827158525526,-0.27723767736842314,0.6090808407208527,-4.80851921140396,-3.748661344644346,34.05095321237068,20.171976,20.424507,19.65549,0.76901627,0.25253105,0.5164852,False
13067,13067,6845748613613248640,304.36606640643316,-28.165787764470853,-0.23770189121737195,0.7066899278122474,9.628513389626805,-5.1280805076281055,-30.19048888861371,19.700855,20.026531,19.171255,0.8552761000000001,0.32567596,0.52960014,False
9085,9085,6520054680847574784,340.0411816777507,-44.00991911225217,-0.05251091966227153,0.7464830640904371,1.3390901085019713,-2.7048061075438654,-58.73135030380194,19.56117,20.18346,18.759226,1.4242344,0.62228966,0.80194473,False
11834,11834,2746522871584695296,358.51199365287056,7.562898844624832,0.4579625065868444,1.0927895504004508,0.016835426256831508,-2.9454937577336633,-52.628375792944496,20.639498,20.808495,19.99916,0.8093338000000001,0.16899681,0.6403369999999999,False
2211,2211,6834405192667965824,321.76994709873736,-18.130297878793307,-0.1253826200173223,0.7801002747267226,6.4856941980919744,-3.1208562430705307,-42.31025043974896,19.663277,20.942991,18.396648000000006,2.5463428,1.2797146,1.2666283,False
13493,13493,1347029253015431424,261.65079160264673,40.90250000372096,-0.1865721994998345,0.6470280625535669,-1.009676063431126,-1.4604314264974936,32.81424592009413,20.471205,20.688091,20.125206,0.5628853,0.21688652,0.34599876,False
13216,13216,6835677877376966656,318.6178993956948,-16.952244233954016,0.3591855330265989,1.2915120901025463,-10.4404807964304,-13.917950022094047,-39.082305460282285,20.490484,20.642885,19.505295,1.1375904,0.15240097,0.98518944,False
1034,1034,2869482734383550592,352.80826661513527,29.666862977513205,-0.008103408348170504,0.983013377657092,0.02988755174624738,-3.1821400263751305,-30.050332816437212,20.425838,20.641096,19.94263,0.69846535,0.21525764,0.4832077,False
4350,4350,6838074950164045312,325.2234364639328,-16.235670236589876,-0.022327337329088443,1.048226629729846,-1.8989181303249485,-16.252850315334612,-44.69068091276805,20.357136,21.1283,18.984993,2.1433067,0.77116394,1.3721428,False
10433,10433,6813949882639448064,323.44052113231214,-27.11342035304387,-0.10106109013379423,0.5410429932597008,7.9162725121886695,-13.408981914304075,-46.31515823034317,19.589453,20.168554,18.805311,1.3632431,0.57910156,0.78414154,False
9012,9012,6572179881420503680,326.9982862282445,-42.213030054219324,0.2862799199775555,1.0251993101191694,-1.4318132826028092,1.5128350973171605,-49.944081928953025,20.232424,20.256628,19.67951,0.5771179,0.024204254,0.55291367,False
1973,1973,2698749675471502336,324.982797175683,5.511160492028829,0.08198096576017001,1.0478555121554254,9.22324867684184,7.127499668376268,-33.393671322541984,20.524914000000006,21.141953,19.195269,1.9466839,0.6170386999999999,1.3296452,False
4443,4443,2851556060581389568,359.0100444000924,24.449071458181447,0.21178989064848613,0.5225123608925613,7.652626287457148,-5.482040104144842,-36.719957874226154,19.556984,19.802576,18.968561,0.8340148999999999,0.24559212,0.5884228,False
7169,7169,1354106259608766720,257.68784253017475,41.50143498376936,0.4610602837407057,0.985337254895075,-5.049432818015588,5.762149305427713,35.849334616273204,20.837965,20.993189,19.490877,1.5023117,0.15522385,1.3470879,False
4269,4269,4548456746846652416,257.52723758552565,18.367231106861095,0.2793161552892002,0.6861625747530775,-3.766206977131852,-8.23261422515343,30.33668736521154,20.443483,20.78435,19.489717,1.294632,0.34086609999999995,0.95376587,False
27,27,2660472587624970112,352.90431756436135,5.574143350190005,-0.2574744025962649,0.6431882259987571,4.688411330408896,-3.1045974412157578,-52.0274844610494,19.794857,20.132725,19.305408,0.8273163,0.33786774,0.48944855,False
2529,2529,1412774688236702592,254.2233024221881,51.34154737053632,0.08220556363388827,0.3416828827030196,-3.132282441997269,2.388138960358126,38.49961615492168,19.814486,20.187387,19.284311,0.9030762,0.37290192,0.53017426,False
9360,9360,2716556064416905984,341.2073084300041,9.455949857581748,0.07222225041128412,0.5465064220841386,0.9722534869752676,-4.8847801251444105,-42.25214266839493,19.396976,19.615849,17.948483,1.667366,0.21887207,1.448494,False
7731,7731,4573490118350043264,258.4551728901485,25.25425673146719,-0.25952030097653145,1.7990514959486306,-3.3087605776709013,-8.642501299800317,31.81057868216701,20.910471,20.740984,20.056257,0.6847267,-0.169487,0.8542136999999999,False
2567,2567,6694180046666161664,304.39177751801446,-37.82324333367823,-0.4137580314333061,1.254309569767918,3.5004670911538898,-5.751903495030887,-32.52336421389632,20.5131,20.70093,19.50938,1.1915493,0.18782997,1.0037193000000002,False
8484,8484,6686190411064988672,302.13505145087294,-42.71449994999124,-0.14484809528991782,0.5193975902584396,0.9385790157200352,-3.787185873927653,-31.680289838704706,19.535486,19.758152,18.917788,0.84036446,0.22266579,0.61769867,False
3529,3529,6673723422377743488,301.0615095465994,-44.266622044334575,0.41985427394529296,1.1487202694637324,9.428961002760108,-11.918053926603331,-31.15497060501645,20.21358,20.741955,19.472237,1.2697181999999998,0.5283756,0.74134254,False
7240,7240,6483249358035894656,314.6502710980121,-46.84428830793239,-0.12790519731099098,0.2580343507795345,6.38278310809026,-13.430437787908149,-40.79340247573794,18.795698,19.092623,18.17903,0.9135933,0.2969246,0.6166687,False
6985,6985,1632216490218695296,257.4790312901883,64.88611301480339,-0.024049538617249518,0.4077216676857453,-2.3549895400577103,-2.4726766821280086,35.08437050932631,19.614853,19.890528,19.086355,0.8041725000000001,0.27567482,0.5284977,False
2363,2363,2674093505173356800,324.6686215506553,-3.0176821246817287,0.014356583532527016,0.2179094110455861,2.6366941948992384,-4.8996519342219225,-38.06055426101248,17.683813,18.066582,17.185923000000006,0.8806591,0.38276863,0.49789047,False
1826,1826,6775443847268113792,314.46528774765494,-37.12970540974771,0.3160205672665609,1.2323128397519851,15.825579004651216,-14.168821053721054,-40.32354978571532,20.280422,21.266186,18.982151,2.2840347000000003,0.98576355,1.2982711999999998,False
8420,8420,1740976469587298048,322.95810065571527,8.317702450078567,-0.2849685204015864,0.77152322310959,-0.25157744875241816,-3.7856235320844185,-30.082904961055828,19.32926,20.026243,18.397585,1.6286583,0.69698334,0.93167496,False
12518,12518,6807376035760570496,316.2167451234724,-23.418921326259326,-0.4479744152582963,1.139538108712192,4.576359698387991,-4.166660740810563,-39.07121079121902,19.98302,20.460812,19.221079,1.2397327,0.47779083,0.7619419,False
429,429,6807876416631514368,316.58854118694734,-22.246787081525337,0.33810141473455096,0.7006055781528492,5.660412307141267,-5.692087600642321,-39.0522215760015,19.806475,20.278322,18.683084,1.5952377,0.47184753,1.1233902,False
11474,11474,6845726146641492352,304.4875748977317,-28.340851599856162,0.07493341467566454,0.20721130092431736,-0.6668309744941769,-6.929117303701275,-30.34308197283917,17.72234,18.177746,17.093401,1.0843448999999998,0.4554062,0.6289387,False
13460,13460,2401195921749911808,342.2047744591456,-19.592685269510067,0.014205449569721,0.8214728082882766,-1.4612462134701754,-1.5454451874997626,-60.94971025714193,20.443293,20.689001,20.216684,0.47231674,0.24570847,0.22660828,False
7385,7385,2727855431883968512,332.4773160564364,11.970150473597435,-0.8975427872892601,1.8778161317047548,2.3564462438104337,-1.5089956894665029,-34.654489379935285,20.646427,21.046494,19.79295,1.2535439,0.40006638,0.8534775,False
1180,1180,6896811690249410560,317.73660761911475,-8.799997811939532,0.21704726948046946,0.5127526238553933,0.7400957768410417,-5.794434275291518,-34.937316820724355,19.312653,19.621763,18.508211,1.1135521000000002,0.30911064,0.80444145,False
10325,10325,6899234288026298880,319.89364887503024,-6.521112709900283,0.02674607878475746,0.11738041822137875,-4.187297999686087,-1.6421205752337853,-35.757060187403155,16.98586,17.350199,16.44615,0.9040489,0.36433792,0.5397109999999999,False
3254,3254,6516882452362158592,339.25625133483413,-49.86912677198495,-0.1881591749968408,0.9177827307110324,2.4000033386944817,-7.6795850083060815,-55.73103443088593,19.994377,20.230604,19.560162,0.6704426,0.23622704,0.43421555,False
9971,9971,2421054854094400896,358.8126469415886,-13.343890517922866,-0.25576700866438323,0.6695622085861682,2.4033476650569305,-4.3867232651720665,-70.96246857498517,19.359898,19.67787,18.699348,0.97852135,0.31797218,0.66054916,False
4916,4916,2632067490699633920,349.48666501713797,-5.507626351735413,0.061013720478107686,0.6376154357425602,0.17791065363159714,0.5582184446548378,-58.975976412056646,19.643099,19.763716,19.052776,0.7109394,0.12061691,0.5903225000000001,False
5006,5006,4571422486733963648,256.42666322245213,23.62114976592657,-0.11869994262982375,0.4963969337772661,-0.2126433739272317,-1.5989190716657635,33.07181015628695,20.102745,20.435457,19.649076,0.78638077,0.33271217,0.4536686,False
12130,12130,6576307619870225280,322.6525013619751,-43.98036452069437,0.06692616929063995,0.4493444445033391,2.182603501151568,-5.3835150507719245,-46.59518116754373,19.587238,20.059864,18.906553,1.1533108,0.47262573,0.68068504,False
8084,8084,2713458735867073280,346.18416469953763,7.605774402865963,0.09700726146537267,0.7905997309300123,-3.6315608464572575,-13.77800969532693,-46.711736998483715,19.62917,20.374142000000006,18.720697,1.6534443,0.7449722,0.90847206,False
9782,9782,6676263053720346624,309.56536111799124,-43.24654203932501,0.03315237209871258,0.2678781595663036,-0.4744505390160709,-3.491265932863401,-37.13934017890436,18.411575,19.074995,17.608845000000006,1.4661503,0.6634197,0.80273056,False
12285,12285,1413284930351326976,252.27572603707736,51.935181644619256,-0.04124507183071004,0.2589382603203311,-0.7906733764804124,-1.4682388329641345,39.6571202306558,19.192467,19.61826,18.648933,0.969326,0.4257927,0.5435333000000001,False
4143,4143,2830436087183423360,343.6324882480328,18.989500696514487,-0.12739295104217416,0.945879630934686,-1.5173368421681117,-6.225973844810515,-35.87665199987368,20.27405,21.307787,19.167591,2.1401958,1.0337372,1.1064587,False
8802,8802,6563394886593263232,322.41207657489065,-47.15479959446618,0.3016858121137372,0.6844789240192078,2.1258369607407346,-9.623605246255751,-46.03083965826822,19.761066,20.0528,18.972376,1.0804234,0.2917328,0.78869057,False
6787,6787,1873744903822538624,338.15496787874264,20.802767852383145,0.4574312056872182,1.1635010220220985,-1.5856815488495624,-4.277379508074244,-31.467645062056746,19.76187,19.955814,19.106066,0.8497485999999999,0.19394493,0.6558037,False
11497,11497,1340821410364280448,260.24568457384345,39.14204461836846,-0.000716384982205182,0.10834820741471997,-2.841443464417343,-2.8362286748802132,33.59058280233882,17.815228,18.133507,17.294220000000006,0.8392868,0.31827927,0.52100754,False
