,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
1050,1050,3480564049829047296,175.02573460995396,-29.67197435670066,0.1115433137958982,1.3418038204484355,-7.419124158098192,0.2465333311439281,30.690667801043677,20.752916,21.280823,19.842186,1.4386368,0.5279064,0.91073036,False
1748,1748,6160712325017095168,190.8775445576236,-31.10571799020717,0.0863632638746098,0.2573973570250109,-4.604095893620831,2.989506971400056,31.73531671513415,18.71526,19.230911,18.052315,1.1785965,0.5156516999999999,0.6629448,False
1685,1685,6179758512110313088,199.17621257037172,-32.50104195386648,0.13420404498027647,0.34692484516261685,-6.405069708527013,-1.3883992887358847,30.068548685870727,18.837662,19.163355,18.273115,0.8902396999999999,0.32569313,0.5645465999999999,False
365,365,3485322225053364096,174.11189183601354,-26.49616321456298,-0.5355543662092624,1.6266660496497571,-7.696539893074122,3.1969477833565225,33.42301893844123,20.893873000000006,21.225857,19.85279,1.373066,0.33198357,1.0410824,False
1445,1445,3471226451625291392,186.6614301053604,-30.844179771280146,0.16149442072360953,0.3259829871971538,-4.302360999815786,-5.0330418613592425,31.726207502980103,18.897137,19.744827,18.007402,1.7374249,0.8476905999999998,0.88973427,False
1916,1916,6169473375401644544,202.08930582390488,-31.81428458787509,-0.048120485899558016,0.8439660067327825,-7.993384010509742,-2.6404234642695754,30.40479362704899,20.314152,20.788767,19.278368,1.5103989,0.4746151,1.0357838,False
868,868,6189687480066307712,203.03171671349793,-26.455107886720533,-0.16298634102055493,0.6991295230643241,0.9965974605972888,-4.089709981044351,35.52992775153537,19.230032,19.451487,18.796598,0.65488815,0.22145462,0.43343353,False
792,792,6181568308251663488,198.48050126871442,-31.27638950301523,-0.2295915064402871,0.7561678857467391,-14.323243649656826,-1.6896063715045837,31.34965182867257,19.857054,20.179008,19.159302,1.0197067,0.32195473,0.697752,False
1515,1515,3480788663733472768,177.56005141419402,-29.055874019917088,-0.20660463242263769,0.7011819455776362,-2.4349725430474245,-3.71883548346874,31.934826828496607,20.252022,20.528439,19.583553,0.94488525,0.27641678,0.6684685,False
807,807,3495381549561303040,192.4426837109414,-28.24203910632319,0.0634351731837684,0.16388281281567338,-7.035515088539832,0.7526978469429663,34.62826641321328,18.157526,18.556746,17.642282,0.91446304,0.3992195,0.51524353,False
462,462,3483678244715379456,175.22663982602143,-29.116944947934183,0.17925157700973074,0.5662410638532311,-4.915458809283346,1.3897009052039628,31.27256772247793,19.425106,19.860603,18.544304,1.3162994,0.43549728,0.88080215,False
141,141,3485610979998821376,173.74081952863114,-25.845092870315852,-0.12232365400059145,0.3680624699388079,-2.332386373708548,-3.254210954813701,33.91807847172464,18.77216,19.0264,18.325884,0.70051575,0.25424004,0.4462757000000001,False
1637,1637,3536053824702590208,167.8916038496333,-24.89818889521533,-0.2233209488111674,0.5097957414153922,0.17022718430154293,7.578746558799075,32.673701846488186,19.723045000000006,21.146091,18.566017,2.5800743,1.4230461,1.1570281999999998,False
1649,1649,6182855733286643584,198.59792805377324,-28.993436450190078,-0.10505576965562127,0.22887913891643816,3.3961184906066832,-4.07689599371503,33.60951467884302,18.364206,18.68476,17.87419,0.81056976,0.32055283,0.49001694,False
188,188,3498372912678045184,193.55198846930568,-24.510038812002676,-0.1359817570789009,0.8612785009837783,-14.421497543771405,3.5157956726025006,38.357389278943174,20.43113,22.00791,19.09342,2.9144897000000003,1.5767803,1.3377093999999998,False
837,837,6183126870277176576,200.371331820778,-28.55345920374835,-0.4450302386619464,1.0172101660544928,-25.507104754602146,0.19296764210900288,33.85414954687615,20.581022,20.924828,19.237423,1.6874046000000005,0.3438053,1.3435993,False
1148,1148,3481208054405060352,177.44720131470413,-27.823150584516558,0.3036732405377669,0.6741090963628436,-3.410936715399933,-4.606810595254283,33.09068622113562,19.825235,20.36961,18.994295,1.3753147,0.54437447,0.83094025,False
