,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
2500,2500,1504984857238201088,214.85801364104518,44.933855062911185,0.299838157520921,0.6844146501231982,-1.71129163611468,-7.185375928401897,64.98921797799153,20.489643,21.086426,19.455132,1.6312943000000002,0.5967826999999999,1.0345116,False
228,228,1587549551894679296,228.14386942994238,45.6584956176281,-0.5134264494926611,1.0484065736396715,-5.950991505462196,-2.5890931897291054,56.499779774665605,20.837519,20.852577,20.295904,0.55667305,0.015058517,0.54161453,False
10713,10713,1587102978375561600,225.65699753043137,46.01667798868213,-0.445250821783748,1.3945274006926471,-9.13207069275349,-2.7492685389012195,57.95452622586111,20.984064,21.584557,19.772924,1.8116322,0.6004925,1.2111397,False
4583,4583,1494658892570464768,218.91914696817955,45.4552678482886,0.08797491961712342,0.4606603812235811,-3.272183051198581,-2.5976997250918092,62.351304211957206,20.049,20.198263,19.532011,0.66625214,0.14926338,0.51698875,False
5044,5044,1503706773754786560,206.82055739020333,45.99095792750349,-0.0044924977244609815,0.24288862130939606,-8.949068246754322,-4.866091777142412,68.12980676186419,18.92273,19.19249,18.315311,0.8771781999999999,0.26976013,0.60741806,False
9835,9835,1494387519356723328,217.18295145353216,44.71462102301944,-0.05197751660752849,0.2456159681479076,-1.3736181961122211,-2.0778845023892747,63.78250256927738,19.206308,19.566555,18.585278,0.98127747,0.36024666,0.6210308000000001,False
10683,10683,1502728895600860800,209.00644649131425,44.876725081888935,-0.2130466797413484,0.5143270716592678,-7.619133170962861,-13.559663277484331,68.05223192073247,20.135916,20.473385,19.507086,0.96629906,0.3374691,0.62882996,False
10890,10890,1505001586138321024,214.6990351071908,45.13457039616911,0.3985399022535485,1.5134084296447203,8.2623498245268,1.9842766804503893,64.95317354486536,19.677288,19.345402,17.978413,1.3669891,-0.3318863,1.6988754,False
577,577,1586626516179295104,223.5962540248304,44.97072847387303,-0.11693177460353645,0.3312657681366933,1.4786949552442634,-4.298386013109333,59.706606495368575,19.527342,20.164793,18.512001,1.6527919999999998,0.6374512,1.0153408000000002,False
11341,11341,1504989319709114496,215.1156387212656,45.035839466848536,0.0034868870555428977,0.4946943890020369,-22.518243717131995,-1.2909744377498968,64.78274751024395,20.12235,20.7056,19.099386,1.6062145,0.58325005,1.0229645,False
6365,6365,1508991615049864576,208.98684835670085,46.05171309968956,0.04378241738367751,0.16802751408498365,0.056979800163785836,0.3272510067876184,67.16785779069376,18.519625,18.615644,18.109558,0.50608635,0.096019745,0.4100666,False
1912,1912,1505440291275053312,211.53988842693386,44.48684859401476,0.1383820522502397,0.5287818101996712,-3.001735280750609,-1.4806830770950867,67.07390486763877,19.78557,19.989346,19.443636,0.5457095999999999,0.2037754,0.3419342,False
110,110,1502439930201264256,207.4920683627108,44.402560233200006,-0.07569814046514772,0.4810405582063446,-11.378621424466688,-5.784097584763746,69.11066087779018,20.148909,21.050991,19.042925,2.0080662,0.90208244,1.1059837,False
3537,3537,1551524122130078464,203.7192447569781,45.72901265225857,0.02160798811874756,0.8573603605055246,-2.160273769321458,-2.2771610750123465,69.49444065566647,20.695526,20.502579,19.793488,0.7090911999999999,-0.19294739,0.9020386,False
6801,6801,1493896621774747264,219.76622114162728,45.1587182861741,-0.2697037384999051,1.0119430015776525,-13.774726289562555,-5.9742187927485135,62.00077267615596,20.719545,20.829624,19.635628,1.1939964,0.11007881,1.0839176,False
11581,11581,1502867502785569920,207.57651677458924,44.733218702832744,-0.07705215611669727,0.2836116923602908,-3.962225574764811,-0.6144171344653802,68.81557578983217,19.359213,19.554564000000006,18.821545,0.7330189,0.19535065,0.5376681999999999,False
803,803,1494387588076205824,217.17639273359558,44.733448415621126,0.019777842647798995,0.1004209409950604,-8.5743644422867,2.41455023640394,63.77585496907959,17.764894,18.069756,17.286655,0.7831001,0.30486107,0.47823906,False
11493,11493,1503712305673110016,206.50794882176064,45.54458279929133,-0.12920530754664294,0.4665171117034511,-5.2962656766199006,-0.02497979686906878,68.62027785655964,20.095226,20.35739,19.500195,0.8571949000000001,0.26216316,0.59503174,False
346,346,1586582016022484608,224.8948386805077,45.075295669427966,0.10407067480342122,0.2709042056955355,1.7141678968030871,-3.127552988175384,58.8300652429109,19.397495000000006,19.96153,18.447632,1.5138988000000002,0.5640354000000001,0.94986343,False
10758,10758,1503213230473523200,205.4874674651385,44.78726476238247,0.4447593332628878,1.035267860195235,3.098019248227263,-14.808255611500714,69.6522031233475,20.751398,21.359259,19.669786,1.6894721999999998,0.60786057,1.0816116000000002,False
10735,10735,1505680573220891648,210.5265892865476,44.65527129593982,0.2462794410503064,0.7142688634726041,0.506329789579808,0.32916387088929544,67.47549927880044,20.64501,20.916197,19.904772,1.011425,0.27118683,0.7402382,False
2816,2816,1585943062327872768,226.48824069961486,44.498632766686704,0.17589876668212387,0.38417893277269977,-4.509638840555397,-3.2931683933123304,58.01176583830181,19.700863,19.80839,19.313091,0.4952984,0.10752678,0.3877716,False
952,952,1503730344535971584,206.2458870771384,45.79070225695926,0.06085533646446865,0.6053075691869166,-4.668206146695064,-2.839778615269952,68.52223885150576,20.386803,21.012981,19.403028,1.6099529,0.62617874,0.9837742,False
10493,10493,1503427188564320256,204.94589914650388,45.26949552011903,-0.4708291099518189,1.0510248265660034,-2.284656661442628,-3.01244303397635,69.45673603596393,20.81434,20.851501000000006,20.379488,0.47201347,0.037160873,0.4348526,False
9902,9902,1395325576143033216,228.9140293165403,44.910214624526674,0.2780931840142555,0.6213495254907163,-5.515917717222047,1.1635061019290944,56.25268481726532,20.504532,20.852892,19.62401,1.2288818,0.34836006,0.8805218,False
5517,5517,1493667133081585280,221.16721644152713,44.555042412869284,0.021522849309534055,0.2160460958013148,-3.841891927589331,-2.1161554770128883,61.43321551445854,19.109,19.384306,18.636522,0.74778366,0.2753067,0.47247696,False
1005,1005,1503326445811196672,206.19714347462863,45.2241000777676,0.2915964672157804,1.1306479339329765,-3.9655084347744674,0.6135302035036445,69.00800264558755,20.689507,20.496277,20.047735,0.44854164,-0.19322968,0.6417713,False
6866,6866,1506003584829180928,212.72372492541228,46.02117972871645,0.048244135316042734,1.6929984563512708,-0.7290137871698179,1.5569262415078624,65.41629794882672,20.693644,20.743845,19.250498,1.4933472,0.050201416,1.4431458,False
2587,2587,1493879304466532608,219.19911546592635,44.9972828216968,0.15973197398474365,0.4391078953076129,-0.22271493961729827,-2.7858577800597497,62.426956806212424,20.027342,20.306799,19.40524,0.9015598,0.2794571,0.62210274,False
