,Unnamed: 0.1,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
39100,39100,4358767901313469568,245.0932421001421,-2.1327694389344485,0.18216527547182373,1.9865124060955133,-13.037144854558985,-12.249133425561096,31.85142310504321,20.639353,20.770779,19.187065,1.5837135,0.13142586,1.4522877,False
40330,40330,6178032553732613376,207.0680213563148,-27.317326364821426,0.15011388900363248,0.3750608554514684,-9.03488161562416,-5.548934297514147,33.86834353124562,19.470655,20.181583,18.589958,1.5916252,0.71092796,0.88069725,False
13946,13946,3708574620803609856,188.48377408209743,6.079819934199383,0.1615084268966031,0.3938317686507649,-4.296541880201893,-2.8919553592885823,68.54382430172375,19.353775,19.512968,18.881943,0.6310253,0.15919304,0.47183228,False
8001,8001,3627795803613337728,197.43526126369503,-8.853476836632316,0.4723937546859785,1.1135345482416108,-12.934707451062293,0.6425803471599181,53.74582777965265,20.525509,20.558811,19.582293,0.97651863,0.033302307,0.9432163,False
41171,41171,6287909602555378688,209.0987315925299,-22.19470821855502,-0.3540942057458226,0.7579222127679771,-6.56153934332108,2.9900570253319727,38.23709858411251,20.086273,21.157663,18.963537,2.1941261,1.0713902,1.122736,False
27980,27980,5669903391078854400,154.90838444407905,-17.902517800665407,0.2563291811344889,1.2764986843084565,-5.910056126366973,-0.16798798942523005,31.846068951982804,20.077074,20.477924,19.66666,0.81126404,0.4008503,0.41041374,False
37254,37254,4419468575321014272,225.71908830745917,-0.15489872877188007,0.12468463837093567,0.4464458031835994,-2.9638067963954176,-5.708221528377807,48.27577112356871,19.307163,20.187263,18.166134,2.0211296,0.88010025,1.1410294,False
32209,32209,4414028702890475904,230.30303655708062,-3.0135827359316836,-0.3469214743240627,1.1539297536225757,-7.36713960619692,-8.390552228101306,42.973415330432644,20.627644,20.605877,19.7677,0.8381767,-0.021766663,0.8599434000000001,False
1230,1230,3588223211898772096,178.76554843573123,-8.678341782235044,0.1906467462261313,1.2322983123789624,-4.284549213394237,-1.81455830552208,51.675626994733456,20.58341,20.684547,19.47952,1.2050266,0.10113716,1.1038895,False
19269,19269,6308351997616394368,228.839449036769,-14.004146411726966,0.03519927581437997,0.2087323391068062,-1.1175869252384325,-0.7827781768040488,36.046970121202094,18.089655,18.704775,17.290623,1.4141521,0.61511993,0.7990322,False
