stream_file,ra_min,ra_max,dec_min,dec_max
gaia_mock_streams/stream-6739.fits.gz,5.006625945023767,353.706544222672,-72.72622396403632,62.999929502336244
gaia_mock_streams/stream-4624.fits.gz,3.4157841869574437,342.7763810702352,-81.25059606514542,88.55688612539775
gaia_mock_streams/stream-5698.fits.gz,7.388296596161723,359.33757845899703,-83.50492546657368,82.96014209002398
gaia_mock_streams/stream-2985.fits.gz,152.50200734165978,315.6094153397264,-75.06790218088267,81.91649795492366
gaia_mock_streams/stream-847.fits.gz,0.2252594492934924,359.9916804354075,-41.113837695795766,78.55775280896366
gaia_mock_streams/stream-4677.fits.gz,2.2857342397491807,358.10038215238905,-77.08804597008327,85.67433891122849
gaia_mock_streams/stream-4807.fits.gz,99.86342328384819,340.3956054372983,-69.18825017449255,63.741915746344894
gaia_mock_streams/stream-9391.fits.gz,5.119761021370461,358.15377382710915,-85.98227929642188,86.29859604322729
gaia_mock_streams/stream-3506.fits.gz,1.3337751425418345,358.45699643248327,-69.99931377674874,71.71399176155838
gaia_mock_streams/stream-6468.fits.gz,0.11927014793478034,359.9901677745255,-83.71621728572984,85.49096142508377
gaia_mock_streams/stream-8566.fits.gz,0.5668695288006766,359.62409751318376,-84.56605858095361,86.05867695818606
gaia_mock_streams/stream-5921.fits.gz,11.128277034773744,342.1451922257704,-69.12413090227946,80.95584115797514
gaia_mock_streams/stream-5489.fits.gz,0.07122370547483607,359.9827497199299,-74.1776587242552,26.949326697550273
gaia_mock_streams/stream-5204.fits.gz,0.054122294651074765,359.939605172454,-80.05218901418658,84.22881427328618
gaia_mock_streams/stream-6839.fits.gz,0.011198862192959768,359.7681248769207,-58.018591601498684,44.08247606067707
gaia_mock_streams/stream-3055.fits.gz,0.544846174631376,357.18500374373036,-81.27973066919411,83.22931635773688
gaia_mock_streams/stream-6446.fits.gz,0.3155127412372706,359.0249424261957,-57.02380027568023,17.35500714009397
gaia_mock_streams/stream-6869.fits.gz,0.15409699117142386,359.90084347243703,-71.35653596662168,79.9729563834872
gaia_mock_streams/stream-5406.fits.gz,1.3200164601638538,359.85978553146964,-65.61820815514535,63.452583211417966
gaia_mock_streams/stream-8947.fits.gz,130.14109943435645,308.4396040807743,-82.94182371205206,68.04023101346351
gaia_mock_streams/stream-8516.fits.gz,212.17003727185966,352.78865753200023,-66.61617316616822,73.73567405179058
gaia_mock_streams/stream-522.fits.gz,7.385255785434965,328.3299945317503,-86.37468013704651,78.84969324111691
gaia_mock_streams/stream-7700.fits.gz,0.01880537076085327,359.686919632593,-78.81128737560029,71.82707626690947
gaia_mock_streams/stream-3704.fits.gz,0.5257587698325873,359.9282503401189,-88.22208895181821,82.38209206736553
gaia_mock_streams/stream-8735.fits.gz,2.562368359884895,359.888746862373,-81.10917633127713,76.9461547332562
gaia_mock_streams/stream-5240.fits.gz,47.91386500677742,115.61754472552352,-24.302069553894057,7.898308991572524
gaia_mock_streams/stream-532.fits.gz,119.9138278097674,194.9577048719603,-33.580241958808166,-13.007533195880704
gaia_mock_streams/stream-1333.fits.gz,1.3308580485448844,359.66608786333666,-88.18595569608492,87.03703910036083
gaia_mock_streams/stream-2100.fits.gz,38.392453109541265,359.7424046215182,-84.06306490450883,70.01569787889045
gaia_mock_streams/stream-5743.fits.gz,0.13044532374763904,359.66126514037046,-86.79521218044135,86.09339305168328
gaia_mock_streams/stream-1864.fits.gz,0.012173124704018825,359.98404999708026,-88.54089250022015,47.95526897187203
gaia_mock_streams/stream-5711.fits.gz,200.9778977322707,331.6873358339182,-45.704300155937986,46.20257569193405
gaia_mock_streams/stream-8495.fits.gz,0.06846329626103481,359.65091899754646,-65.13635721963448,81.65890637544733
gaia_mock_streams/stream-4106.fits.gz,203.86594879209576,351.75747158055333,-78.6878302146835,58.57073291994514
gaia_mock_streams/stream-1101.fits.gz,0.8925801903836967,355.84786373197556,-87.55195195010994,74.02713082457896
