,training_ratio,multiple,precision,recall
0,0.1,30,0.9159090909090909,0.8956521739130434
1,0.1,40,0.7678916827852997,0.9318181818181819
2,0.1,50,0.7619047619047619,0.8218085106382979
3,0.1,60,0.6929347826086957,0.7102272727272727
4,0.1,75,0.7591973244147157,0.8153846153846154
5,0.1,100,0.7936046511627908,0.825
