,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
0,6092231412241556480,216.88324534649794,-47.01548487430627,0.01266403006902139,0.807501068582955,-12.1305066055118,-0.5577574149608703,20.03666,20.725145,19.230331,1.4948139,0.6884861,0.8063278,False
1,6096222983046887808,214.79546554912767,-46.02741656295717,-0.25751152032640706,0.5195858878537741,-3.4340701016238957,-3.22829942726249,19.27192,19.194998,18.622719,0.572279,-0.07692146,0.64920044,False
2,6092236012151450880,217.18422418661453,-46.90170033446452,-0.03646294198688618,0.43236134919522834,-8.176206410015979,-1.5746125438690783,19.313757,19.684975,18.74224,0.94273376,0.37121773,0.57151604,False
3,6096125882431368064,212.70913604148114,-45.83403138013201,-0.1640949956373325,0.6193535911434157,-6.188703365783879,-1.3693026874982712,18.823591,19.287815,18.150927,1.1368885,0.46422386,0.67266464,False
4,6096186763586409728,214.15248180102577,-46.441663385102046,-0.17745460695041496,0.48738790128241327,-7.349204992144548,-3.72748078021952,19.453344,19.935856,18.768482,1.1673737,0.48251152,0.68486214,False
5,6092532845935440128,212.77602576993382,-48.67069977747436,-0.12469824236981401,0.2778184184719157,-10.873181381782759,-7.531167339229439,18.757076,19.174883,18.132303,1.0425797,0.41780663,0.624773,False
6,6092989422428425856,216.720786691453,-46.72925052430273,0.1980391269274887,0.4488858625801834,-3.826692475168813,-1.4893054920141104,19.132421,19.570986,18.472586,1.0984001,0.4385643,0.6598358,False
7,6092030991889905280,216.5287583180044,-47.86286373673003,-0.5703732149987477,1.2202429399694787,1.6942381673637974,2.460773271676186,20.217052,20.700142,19.57145,1.1286926,0.48308945,0.6456032,False
8,6096213259245868800,214.31039357516698,-46.028687935038924,0.016880612289435104,0.33333697372977855,-3.5486886021768216,-5.408201280767103,17.55765,17.895855,16.968206,0.92764854,0.33820534,0.5894432,False
9,6091978524565457664,216.31538042367777,-48.4794887992226,0.1933834492575857,0.7347045814625061,-5.101964320388994,-2.442071328269275,20.035769,20.363165,19.331448,1.0317173,0.3273964,0.7043209,False
10,6092722511688796928,214.26497228755673,-47.34344071160491,0.24293553083051253,0.7849301050883286,-6.73395174091273,1.1784362176091068,19.76234,20.151594,19.031334,1.1202602,0.38925362,0.7310066,False
11,6093026698452820224,216.06381362519585,-46.65556430193986,-0.06746548193427974,0.2823080125552378,-13.450789998663922,-2.2638461407820167,18.53557,19.066782,17.917835,1.1489468,0.53121185,0.6177349,False
12,6093163110908042112,214.5714667793623,-46.750722048992834,-0.015622657589430825,0.7510501579708516,-1.850598586738137,-5.370503984504545,20.372503,20.490948,19.572886,0.9180622,0.11844444,0.79961777,False
13,6096299124228729728,214.3645092847182,-45.45383416808412,0.184364922466091,1.1190638803694914,-2.9465434115368447,-15.855889458513385,20.17617,20.374891,19.653074,0.721817,0.19872093,0.5230961,False
14,6096247339807409536,214.80691801443194,-45.68001680255886,-0.16738496137324715,0.44501290109726865,-7.057510816039477,3.0394636165776774,18.699722,19.38036,17.902414,1.4779453,0.68063736,0.79730797,False
15,6096275553447742976,213.78929634322813,-45.830671735605776,0.2772487388529806,1.2331243374725904,-8.227694724773887,-3.232157790430523,20.507742,21.376911,19.443188,1.9337234,0.86916924,1.0645542,False
16,6095664942244876032,212.79776414384278,-47.42395409281851,0.16704071168104442,0.36412835050932313,-4.749575606053483,-0.6039673725862537,19.070791,19.641146,18.329414,1.3117313,0.57035446,0.7413769,False
17,6092458495752572160,214.28804243166473,-48.32275424698338,-0.12267060274393275,0.7410620349352693,-5.45084931665785,-3.310685605027042,20.097494,19.983421,18.771282,1.2121391,-0.1140728,1.3262119,False
18,6095795410464537600,213.25549927036374,-46.73137404902384,0.08250619888355258,0.39721494274134517,-5.620631552726927,0.6404464094652232,18.590937,18.9875,18.015125,0.97237396,0.39656258,0.5758114,False
19,6093168088776297472,214.69315569135117,-46.73026368672371,0.09427488871884658,0.1934671065037334,-2.401846764635692,-3.4541159083247894,18.08148,18.4863,17.531155,0.9551449,0.4048195,0.5503254,False
20,6095769017892949376,213.1401936713451,-47.11939637234626,0.26008214038411503,0.5592704864106176,-6.590491468427096,-1.299510146067387,19.596874,20.239038,18.963276,1.2757626,0.64216423,0.6335983,False
21,6096266581260468608,214.24989996060143,-45.84066619489413,-0.03984978261197745,0.5863722766445812,-6.360275449313659,-0.3248570213686146,18.483944,18.828125,17.88799,0.94013405,0.34418106,0.595953,False
22,6096116223043974528,212.3000598514066,-46.062141288810025,0.41970619566882017,0.840421577838696,-5.930448199277494,-3.098243724628073,20.144266,20.465565,19.52085,0.9447155,0.3212986,0.6234169,False
